side,purpose,relative_path,file_name,row_count,column_count,feature_like_column_count,has_USER_KEY,has_is_repurchase,has_is_promotion,has_repurchase_score,has_churn_risk,columns_preview,sha256,extension,size_bytes,modified_time,file_role
park,model_result,park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_model_availability.csv,15x_model_availability.csv,3,4,3,False,False,False,False,False,model_name; import_available; will_run; unavailable_reason,6022d6e442d978ae17bb74401cb6333a335b51907c0a7ba2a7c6ad2ff43f5fbe,,,,
park,model_result,park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_model_run_plan.csv,15x_model_run_plan.csv,12,6,3,False,False,False,False,False,feature_set_variant; dataset_scope; model_name; will_run; params_source; reason,568132cfe01466ba9ccd184d933bcc4cc4ac6ace0e68249a1a34b31d3a756a35,,,,
park,model_result,park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_model_summary_by_scope.csv,15x_model_summary_by_scope.csv,12,11,8,False,False,False,False,False,feature_set_variant; dataset_scope; model_name; oof_auc; oof_ap; oof_brier; oof_logloss; train_valid_auc_gap; fold_auc_std; row_count; feature_count,f681eda5bb6abd5ca0b1499c5a26f9be725327d79df92991f1587693a8664a4f,,,,
park,model_result,park.ingyeom\reports\audits\15x_payment_device_sensitivity_260516\15x_payment_removed_vs_original_comparison.csv,15x_payment_removed_vs_original_comparison.csv,12,16,14,False,False,False,False,False,dataset_scope; model_name; original_reference_step; original_oof_auc; no_payment_oof_auc; delta_auc_no_payment_minus_original; original_oof_ap; no_payment_oof_ap; delta_ap; original_brier; no_payment_brier; delta_brier; original_gap; no_payment_gap; gap_change; interpretation,aff5e1c4766d2930f3836eb583b5458e6c3e7047910f49a65b1236da47215b8b,,,,
park,model_result,park.ingyeom\reports\interpretation\16x_SHAP_candidate_interpretation_260516\16x_SHAP_candidate_plan.csv,16x_SHAP_candidate_plan.csv,4,12,9,False,False,False,False,False,feature_set_variant; dataset_scope; model_name; source_step; selection_basis; row_count; feature_count; payment_features_removed yes/no; will_run_SHAP yes/no; reason; params_source; non_payment_extra_removed,096c4d4f9729fe01d81f29a5ad7798c005e018c858933fe9a8b297615fc0f760,,,,
park,model_result,park.ingyeom\reports\models\12x_model_family_comparison_260516\12x_calibration_decile_summary.csv,12x_calibration_decile_summary.csv,1280,10,8,False,False,False,False,False,feature_set_name; dataset_scope; model_name; score_type; decile; row_count; observed_repurchase_rate; observed_nonrepurchase_rate; mean_repurchase_score; mean_churn_risk,cfcad38247202a7e7e48f36884a22111c0ecedafdefe859acc723cff86076dfd,,,,
park,model_result,park.ingyeom\reports\models\12x_model_family_comparison_260516\12x_candidate_selection_by_scope.csv,12x_candidate_selection_by_scope.csv,8,11,10,False,False,False,False,False,feature_set_name; dataset_scope; highest_auc_candidate; highest_auc_oof_auc; operating_metric_candidate; operating_metric_basis; stability_aware_candidate; stability_basis; recommended_for_14x_tuning; recommended_for_16x_SHAP; caution,a604006afa4b869ce3a7c502030ffbf777843cd46d0ef64b04a9c814867b61fd,,,,
park,model_result,park.ingyeom\reports\models\12x_model_family_comparison_260516\12x_conservative_vs_expanded_comparison.csv,12x_conservative_vs_expanded_comparison.csv,32,15,13,False,False,False,False,False,dataset_scope; model_name; conservative_oof_auc; expanded_oof_auc; delta_auc_expanded_minus_conservative; conservative_oof_ap; expanded_oof_ap; delta_ap; conservative_brier; expanded_brier; delta_brier; conservative_gap; expanded_gap; gap_change; interpretation,c27838337abd8d1801fc782e22e16483772fc4eaa838616410f09998cc682e56,,,,
park,model_result,park.ingyeom\reports\models\12x_model_family_comparison_260516\12x_cv_fold_metrics.csv,12x_cv_fold_metrics.csv,320,16,13,False,False,False,False,False,feature_set_name; dataset_scope; ladder_step; model_name; fold; train_row_count; valid_row_count; auc_train; auc_valid; ap_train; ap_valid; brier_train; brier_valid; logloss_train; logloss_valid; train_valid_auc_gap,e6961151e0870fcfb618b33c2740c34e3c20261a6d5055f0e9decfd96999d305,,,,
park,model_result,park.ingyeom\reports\models\12x_model_family_comparison_260516\12x_dataset_scope_summary.csv,12x_dataset_scope_summary.csv,8,11,10,False,False,False,False,False,feature_set_name; dataset_scope; row_count; feature_count; target_positive_count; target_positive_rate; target_negative_count; target_negative_rate; unique_USER_KEY_count; is_promotion_included_as_feature; status,0d0e465413f364e9e324f3727c07baa19e2acd52c8daaed324f360da4ba92338,,,,
park,model_result,park.ingyeom\reports\models\12x_model_family_comparison_260516\12x_feature_set_input_audit.csv,12x_feature_set_input_audit.csv,424,10,9,False,False,False,False,False,feature_set_name; dataset_scope; feature_name; role; included_as_feature; source_original_feature; caveat_flag; caveat_reason; redundancy_family_from_10x; VIF_bucket_if_available,95b101267fc058d6da77dc286ec13eea1c0c0aaa8b80205d92d0647289425395,,,,
park,model_result,park.ingyeom\reports\models\12x_model_family_comparison_260516\12x_final_checks.csv,12x_final_checks.csv,41,3,3,False,False,False,False,False,check; status; detail,abc8c3c5727b08fa1d7405fd5235ae6e7b0c018c0f85a11027a8b008a27d2ef9,,,,
park,model_result,park.ingyeom\reports\models\12x_model_family_comparison_260516\12x_model_availability.csv,12x_model_availability.csv,8,4,3,False,False,False,False,False,model_name; import_available; will_run; unavailable_reason,19935046a61c8b055c63ef7c6ce8511a15512aeb40bd3e606d87d0c62e507c73,,,,
park,model_result,park.ingyeom\reports\models\12x_model_family_comparison_260516\12x_model_run_plan.csv,12x_model_run_plan.csv,64,5,3,False,False,False,False,False,feature_set_name; dataset_scope; model_name; will_run; reason,ea063765e9092ccf015259c9d8f72a5f63ce106c9aac5aa3b58b7d11969c5172,,,,
park,model_result,park.ingyeom\reports\models\12x_model_family_comparison_260516\12x_model_summary_by_scope.csv,12x_model_summary_by_scope.csv,64,15,13,False,False,False,False,False,feature_set_name; dataset_scope; ladder_step; model_name; oof_auc; oof_ap; oof_brier; oof_logloss; mean_train_auc; mean_valid_auc; train_valid_auc_gap; fold_auc_std; row_count; feature_count; interpretation_caution,5b818ae15132568aea9c6d1742ac0a8b82a4663032e23ca5e0d70282c794da4b,,,,
park,model_result,park.ingyeom\reports\models\12x_model_family_comparison_260516\12x_open_risks_for_next_steps.csv,12x_open_risks_for_next_steps.csv,9,3,3,False,False,False,False,False,risk; detail; next_step,6feb279ef7ed1fa478e42767f24b1812260c5756b56263903d079d5301a53ba1,,,,
park,model_result,park.ingyeom\reports\models\12x_model_family_comparison_260516\12x_operating_metrics_at_k.csv,12x_operating_metrics_at_k.csv,192,12,10,False,False,False,False,False,feature_set_name; dataset_scope; model_name; k_label; selected_n; nonrepurchase_events; base_nonrepurchase_rate; precision_at_k; recall_at_k; lift_at_k; mean_churn_risk; mean_repurchase_score,83cbf66f10bf0e85f81639b3bdcfccb9b9f2f079a1b4c69b681fee0449449639,,,,
park,model_result,park.ingyeom\reports\models\12x_model_family_comparison_260516\12x_preflight_input_validation.csv,12x_preflight_input_validation.csv,13,4,4,False,False,False,False,False,check; status; detail; stop_reason,9db1fa30fe81cab071b07d6b45ae2a3b974dbf42c7743ba0526e5077e6f27f52,,,,
park,model_result,park.ingyeom\reports\models\12x_model_family_comparison_260516\12x_redundancy_caveat_handoff.csv,12x_redundancy_caveat_handoff.csv,11,8,8,False,False,False,False,False,handoff_topic; redundancy_family; VIF_extreme_high_feature_count; logistic_coefficient_interpretation_caution; tree_feature_importance_SHAP_later_caution; feature_removal_performed; user_approval_required_for_future_feature_removal; notes,5b9fe8ba80125847d203d2c0a420572e79a2916802cfc3ad60e3e95a37562d44,,,,
park,model_result,park.ingyeom\reports\models\12x_model_family_comparison_260516\12x_review_zip_inventory.csv,12x_review_zip_inventory.csv,24,5,5,False,False,False,False,False,expected_path_in_zip; exists; size_bytes; duplicate_count; status,f4589006ddcdf4a11816b0185064b0efc6fce4247989208dca427108f01d4bbe,,,,
park,model_result,park.ingyeom\reports\models\12x_model_family_comparison_260516\12x_safe_unsafe_wording.csv,12x_safe_unsafe_wording.csv,9,3,3,False,False,False,False,False,wording_type; expression; reason,3d4b2ff8556bf45e1c4124fe754c7461536b4bf4283ff03ec2d041a7ae907180,,,,
park,model_result,park.ingyeom\reports\models\12x_model_family_comparison_260516\12x_source_fingerprint_before_after.csv,12x_source_fingerprint_before_after.csv,7,9,9,False,False,False,False,False,file_path; file_role; sha256_before; sha256_after; size_before; size_after; mtime_before; mtime_after; status,d66e5efd688697c6c807f9eb5556032f8394493ff07683b6d10a379e3b4ab7ac,,,,
park,model_result,park.ingyeom\reports\models\12x_model_family_comparison_260516\12x_vs_11x_baseline_comparison.csv,12x_vs_11x_baseline_comparison.csv,8,8,7,False,False,False,False,False,feature_set_name; dataset_scope; 11x_best_model; 11x_best_oof_auc; 12x_best_model; 12x_best_oof_auc; delta_auc_12x_minus_11x; interpretation,ea0839fe2372cc7e9797b40ca87ba450481bbc8649ff311fe29dd272085c0050,,,,
park,model_result,park.ingyeom\reports\models\12x_model_family_comparison_260516\note_tail_copy.md,note_tail_copy.md,,,,,,,,,,44e80d67ce22c9e3535d6d91af3e8ee929ee27eab4bc083fa5b93df051c55db8,.md,8237,2026-05-19T19:11:53,md
