side,purpose,relative_path,file_name,row_count,column_count,feature_like_column_count,has_USER_KEY,has_is_repurchase,has_is_promotion,has_repurchase_score,has_churn_risk,columns_preview,sha256,extension,size_bytes,modified_time,file_role
PUBLIC,SHAP,PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_family_importance_before_after_comparison.csv,16b_family_importance_before_after_comparison.csv,52,10,10,False,False,False,False,False,model_family; promo_scope; feature_family; old_total_mean_abs_shap; new_total_mean_abs_shap; old_family_rank; new_family_rank; delta_total_mean_abs_shap; rank_change; interpretation,8bf87c9ecbfa02a52169ca137916a11dc61740bd7c2465f3ed1ecfcd64c9dacd,,,,
PUBLIC,SHAP,PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_family_interpretation_handoff_for_17.csv,16b_family_interpretation_handoff_for_17.csv,13,8,8,False,False,False,False,False,feature_family; business_meaning; example_features; use_in_segment_rule; use_in_segment_profile; use_in_action_personalization; caveat; notes,36df3af350f1718c5c77d1e9e385eb2b490f1ed7330902b25b2f36b230c5a944,,,,
PUBLIC,SHAP,PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_family_mapping_change_log.csv,16b_family_mapping_change_log.csv,16,7,7,False,False,False,False,False,feature_name; old_feature_family; new_feature_family; change_type; business_interpretation_impact; reason; notes,20ebced80a47492111e5620dcfc06dcc368b3b348f3d6693bc4c6314ea588a57,,,,
PUBLIC,SHAP,PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_feature_family_mapping_hotfix.csv,16b_feature_family_mapping_hotfix.csv,75,10,10,False,False,False,False,False,feature_name; old_feature_family; new_feature_family; old_mapping_rule; new_mapping_rule; old_final_mapping_status; new_final_mapping_status; remap_status; reason; notes,0c7927ef264afa462e54f153ce30057c8dc6b8c0f48ce70e5122f36358c024ae,,,,
PUBLIC,SHAP,PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_promo1_vs_promo0_shap_comparison_hotfix.csv,16b_promo1_vs_promo0_shap_comparison_hotfix.csv,174,10,10,False,False,False,False,False,model_family; feature_or_family; comparison_level; promo1_importance; promo0_importance; delta_promo1_minus_promo0; stronger_in; interpretation; caveat; notes,4ba75788c760671d67f53e19de98952b2507df47bffdaa6ad12a074933ecd42b,,,,
PUBLIC,SHAP,PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_shap_family_importance_hotfix.csv,16b_shap_family_importance_hotfix.csv,48,10,10,False,False,False,False,False,model_family; promo_scope; feature_family; total_mean_abs_shap; mean_mean_abs_shap; feature_count; family_rank; changed_from_original; interpretation_caveat; notes,1fb89776e04beea9ad45ff6d407f91bea1ca0b83bcf475b9171ebfd1a013ba32,,,,
PUBLIC,SHAP,PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_shap_global_importance_with_hotfix_family.csv,16b_shap_global_importance_with_hotfix_family.csv,300,10,10,False,False,False,False,False,model_family; promo_scope; feature_name; mean_abs_shap; rank; old_feature_family; hotfix_feature_family; family_changed; interpretation_caveat; notes,e8bda78280627a3e0a798690fea8ad767b8d929d89b341cd831ef2691b1c9281,,,,
PUBLIC,SHAP,PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\16b_technical_unknown_inventory.csv,16b_technical_unknown_inventory.csv,16,12,12,False,False,False,False,False,feature_name; old_feature_family; old_mapping_rule; old_final_mapping_status; appears_in_shap_global_importance; appears_in_lr_coefficient_summary; appears_in_direction_summary; importance_rank_min; max_mean_abs_shap_if_available; needs_remap; proposed_new_family; reason,e11160dbe4c9b3a13740ff608ad52e67b7732c0cb40034d1cc4386bbe4d95e38,,,,
PUBLIC,SHAP,PUBLIC\results\16_SHAP_candidate_interpretation_260520\16b_feature_family_mapping_hotfix_260520\README.md,README.md,,,,,,,,,,ed893d3492ece4597d9a1e57e3d8d68abfcdbf8705fa9104411bf77b9162f609,.md,3109,2026-05-21T17:37:37,md
PUBLIC,SHAP,PUBLIC\reports\figures\16_SHAP_candidate_interpretation_260520\16_fig_family_importance_by_scope.png,16_fig_family_importance_by_scope.png,,,,,,,,,,7debe9f8b97640a7a7d3e523c04edc8ef78a811d720044e19c2bd4f22c48c408,.png,145161,2026-05-21T17:37:37,figure
PUBLIC,SHAP,PUBLIC\reports\figures\16_SHAP_candidate_interpretation_260520\16_fig_gb_promo0_top20_shap_bar.png,16_fig_gb_promo0_top20_shap_bar.png,,,,,,,,,,fb2fcb5f5edd5fd72ebc660af003c0f4871ef75eedf6f2ae762951f5b47ea685,.png,77047,2026-05-21T17:37:37,figure
PUBLIC,SHAP,PUBLIC\reports\figures\16_SHAP_candidate_interpretation_260520\16_fig_gb_promo1_top20_shap_bar.png,16_fig_gb_promo1_top20_shap_bar.png,,,,,,,,,,2192f362bd2ee3b6a6dac399ab8ff58cc7a0b5f91d8de1bf69f25ed5962d305c,.png,79413,2026-05-21T17:37:37,figure
PUBLIC,SHAP,PUBLIC\reports\figures\16_SHAP_candidate_interpretation_260520\16_fig_lr_promo0_top20_coef_bar.png,16_fig_lr_promo0_top20_coef_bar.png,,,,,,,,,,d99da76969da3058e1fe7f53cf9087a4209b90f8e514d52fb77f9060f6c1667f,.png,82501,2026-05-21T17:37:37,figure
PUBLIC,SHAP,PUBLIC\reports\figures\16_SHAP_candidate_interpretation_260520\16_fig_lr_promo1_top20_coef_bar.png,16_fig_lr_promo1_top20_coef_bar.png,,,,,,,,,,7ea25feb7b0658d921c256e82350930945c6875395fdf56e202c5966372c41b7,.png,79089,2026-05-21T17:37:37,figure
PUBLIC,SHAP,PUBLIC\reports\figures\16_SHAP_candidate_interpretation_260520\16_fig_promo1_vs_promo0_family_comparison.png,16_fig_promo1_vs_promo0_family_comparison.png,,,,,,,,,,aac00334023e02513396ec48c7e01eda37c73b0f8c0b46f5e7804406eb8034cc,.png,124440,2026-05-21T17:37:37,figure
PUBLIC,SHAP,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_demographic_context_audit_for_shap.csv,16_demographic_context_audit_for_shap.csv,12,10,10,False,False,False,False,False,model_family; promo_scope; demographic_feature; present_in_input; used_as_feature; importance_rank; importance_value; recommended_use; unsafe_use; notes,4d04a5a47b1dc2b13c57b8a5ed4bcd049ba34488aafe60c4fcac17f097943916,,,,
PUBLIC,SHAP,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_feature_family_mapping_for_shap.csv,16_feature_family_mapping_for_shap.csv,75,5,5,False,False,False,False,False,feature_name; feature_family; mapping_rule; final_mapping_status; notes,1f117182fd9debcd8872e737e63ea373be76402e39ce235055c6d1040f9bb77a,,,,
PUBLIC,SHAP,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_is_churn_prevented_interpretation_audit.csv,16_is_churn_prevented_interpretation_audit.csv,4,11,11,False,False,False,False,False,model_family; promo_scope; feature_present; used_as_feature; importance_rank; importance_value; direction_summary; approved_status; safe_interpretation; unsafe_interpretation; notes,d4a948525ed8a63535e121691b3aa9bb95b28d45a13e000ddfe2da48330f60f2,,,,
PUBLIC,SHAP,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_lr_coefficient_summary.csv,16_lr_coefficient_summary.csv,150,10,10,False,False,False,False,False,promo_scope; feature_name; coefficient; abs_coefficient; standardized_or_scaled; rank; feature_family; direction_for_repurchase_score; interpretation_caveat; notes,8340dd6f66cd55e2a6bfa7386d65ebabcd68cf12a1703a0e4504b68a6e0e1fd0,,,,
PUBLIC,SHAP,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_model_config_and_feature_manifest.csv,16_model_config_and_feature_manifest.csv,4,11,11,False,False,False,False,False,model_family; promo_scope; source_final_result; source_feature_manifest; params_found; params_parse_status; params_used; feature_count; feature_list_hash; status; notes,3d3916ef3b23b69f5db57498a78fd3263c7a8e39a4e1ab397e41f371809c73d3,,,,
PUBLIC,SHAP,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_promo1_vs_promo0_shap_comparison.csv,16_promo1_vs_promo0_shap_comparison.csv,168,10,10,False,False,False,False,False,model_family; feature_or_family; comparison_level; promo1_importance; promo0_importance; delta_promo1_minus_promo0; stronger_in; interpretation; caveat; notes,5bbe1ef587cdd952d0f27b15608f81602c873cf7eedaf7b078c3ea16289390db,,,,
PUBLIC,SHAP,PUBLIC\results\16_SHAP_candidate_interpretation_260520\four_model_shap_interpretation\16_readiness_for_segmentation.csv,16_readiness_for_segmentation.csv,10,5,5,False,False,False,False,False,decision_item; status; evidence; user_approval_required; notes,6351c6afae48062943fae0efc87dd233df134d527f5c0333a49e2eb77d598e39,,,,
