feature_name,category,source_columns,aggregation_logic,description,age_focus,evidence_level,recommended_usage,group_difference_summary
dv_age10_long_watch_ratio,age_interaction,"watch_time(min), watch_day, age",10대 여부 * 60분 이상 시청 비율,10대에서는 프로모션 참여군의 장시간 시청 비율이 낮아지는 방향 차이 반영,10대,exploratory,탐색 변수 권장,"비프로모션 평균 0.4009, 프로모션 평균 0.3478, 차이 -0.0531, p=0.06398, FDR=0.9548, RBC=-0.1129"
dv_age10_romance_share,age_interaction,"genre, watch_time(min), age",10대 여부 * Romance 장르 시청시간 비중,10대 프로모션 참여군에서 로맨스 시청 비중이 높아지는 경향 반영,10대,exploratory,탐색 변수 권장,"비프로모션 평균 0.0751, 프로모션 평균 0.0960, 차이 +0.0209, p=0.09427, FDR=0.9548, RBC=+0.0850"
dv_age10_short_watch_ratio,age_interaction,"watch_time(min), watch_day, age",10대 여부 * 5분 이하 시청 비율,10대에서는 프로모션 참여군이 짧게 찍어보는 비율이 더 높게 나타나는 경향 반영,10대,exploratory,탐색 변수 권장,"비프로모션 평균 0.2620, 프로모션 평균 0.3261, 차이 +0.0641, p=0.06209, FDR=0.9548, RBC=+0.1132"
dv_age20_active_day_ratio,age_interaction,"watch_day, reg_date, end_date, age",20대 여부 * 활동일 비율,20대 프로모션 참여군이 구독 기간 대비 더 자주 돌아오는 경향 반영,20대,moderate,모델 입력 권장,"비프로모션 평균 0.1261, 프로모션 평균 0.1256, 차이 -0.0005, p=0.01267, FDR=0.2313, RBC=+0.0358"
dv_age20_end_near_watch_ratio,age_interaction,"watch_day, reg_date, end_date, age",20대 여부 * 만기 근접 시청 비율,20대 프로모션 참여군이 만기 직전까지 시청을 이어가는 경향 반영,20대,weak,보조 변수 권장,"비프로모션 평균 0.5301, 프로모션 평균 0.5370, 차이 +0.0069, p=0.05575, FDR=0.5814, RBC=+0.0276"
dv_age20_last14d_watch_ratio,age_interaction,"watch_day, watch_time(min), end_date, age",20대 여부 * 만기 직전 14일 시청 비중,20대에서 프로모션 참여군이 후반부 사용 비중을 더 높게 가져가는지 반영,20대,weak,보조 변수 권장,"비프로모션 평균 0.2712, 프로모션 평균 0.2857, 차이 +0.0144, p=0.03449, FDR=0.5035, RBC=+0.0295"
dv_age20_other_genre_share,age_interaction,"genre, watch_time(min), age",20대 여부 * Other 장르 시청시간 비중,20대에서 비주류 장르 소비 비중 차이 반영,20대,weak,보조 변수 권장,"비프로모션 평균 0.0283, 프로모션 평균 0.0331, 차이 +0.0048, p=0.003261, FDR=0.2313, RBC=+0.0243"
dv_age20_short_watch_ratio,age_interaction,"watch_time(min), age",20대 여부 * 5분 이하 시청 비율,20대에서 프로모션 참여군의 탐색형 짧은 시청 비중 차이 반영,20대,moderate,모델 입력 권장,"비프로모션 평균 0.3146, 프로모션 평균 0.3313, 차이 +0.0167, p=0.01093, FDR=0.2313, RBC=+0.0364"
dv_age30_end_near_watch_ratio,age_interaction,"watch_day, reg_date, end_date, age",30대 여부 * 만기 근접 시청 비율,30대 프로모션 참여군이 만기 전까지 시청을 늦게까지 유지하는 패턴 반영,30대,strong,모델 입력 권장,"비프로모션 평균 0.5234, 프로모션 평균 0.5378, 차이 +0.0144, p=0.0007858, FDR=0.01912, RBC=+0.0516"
dv_age30_last14d_watch_ratio,age_interaction,"watch_day, watch_time(min), end_date, age",30대 여부 * 만기 직전 14일 시청 비중,30대에서 후반부 시청 집중 차이 반영,30대,moderate,모델 입력 권장,"비프로모션 평균 0.2643, 프로모션 평균 0.2850, 차이 +0.0207, p=0.002279, FDR=0.04159, RBC=+0.0453"
dv_age30_late_ratio,age_interaction,"watch_day, watch_time(min), reg_date, age",30대 여부 * 후반부 시청 비중,30대에서 초반보다 후반 사용이 늘어나는 프로모션 참여군 패턴 반영,30대,weak,보조 변수 권장,"비프로모션 평균 0.1049, 프로모션 평균 0.1162, 차이 +0.0113, p=0.02139, FDR=0.1596, RBC=+0.0269"
dv_age30_thriller_crime_share,age_interaction,"genre, watch_time(min), age",30대 여부 * Thriller/Crime 장르 시청시간 비중,30대 프로모션 참여군의 장르 선호 차이 반영,30대,moderate,모델 입력 권장,"비프로모션 평균 0.1246, 프로모션 평균 0.1349, 차이 +0.0103, p=0.02186, FDR=0.1596, RBC=+0.0314"
dv_age30_week4_watch_ratio,age_interaction,"watch_day, watch_time(min), reg_date, age",30대 여부 * 4주차 시청 비중,30대 프로모션 참여군이 구독 후반 주차에 시청을 더 배분하는 패턴 반영,30대,weak,보조 변수 권장,"비프로모션 평균 0.0912, 프로모션 평균 0.1044, 차이 +0.0131, p=0.01095, FDR=0.1348, RBC=+0.0293"
dv_age40_action_adventure_share,age_interaction,"genre, watch_time(min), age",40대 여부 * Action/Adventure 장르 시청시간 비중,40대 프로모션 참여군의 장르 선호 차이 반영,40대,weak,보조 변수 권장,"비프로모션 평균 0.1062, 프로모션 평균 0.1142, 차이 +0.0081, p=0.04703, FDR=0.3149, RBC=+0.0259"
dv_age40_active_day_ratio,age_interaction,"watch_day, reg_date, end_date, age",40대 여부 * 활동일 비율,40대에서 가장 뚜렷한 차이를 보인 재방문 밀도 반영,40대,strong,모델 입력 권장,"비프로모션 평균 0.1230, 프로모션 평균 0.1293, 차이 +0.0063, p=1.27e-09, FDR=9.268e-08, RBC=+0.0913"
dv_age40_end_near_watch_ratio,age_interaction,"watch_day, reg_date, end_date, age",40대 여부 * 만기 근접 시청 비율,40대 프로모션 참여군이 만기 직전까지 시청을 유지하는 패턴 반영,40대,moderate,모델 입력 권장,"비프로모션 평균 0.5312, 프로모션 평균 0.5394, 차이 +0.0082, p=0.03334, FDR=0.2704, RBC=+0.0321"
dv_age40_last14d_watch_ratio,age_interaction,"watch_day, watch_time(min), end_date, age",40대 여부 * 만기 직전 14일 시청 비중,40대의 후반부 사용 차이 반영,40대,moderate,모델 입력 권장,"비프로모션 평균 0.2609, 프로모션 평균 0.2821, 차이 +0.0212, p=0.003037, FDR=0.0739, RBC=+0.0428"
dv_age40_multi_event_day_ratio,age_interaction,"watch_day, watch_seq, age",40대 여부 * 하루 다중 시청일 비율,40대에서 집중 시청일 구조 차이 반영,40대,moderate,모델 입력 권장,"비프로모션 평균 0.4403, 프로모션 평균 0.4215, 차이 -0.0188, p=0.03078, FDR=0.2704, RBC=-0.0322"
dv_age60_active_day_ratio,age_interaction,"watch_day, reg_date, end_date, age",60대 여부 * 활동일 비율,60대 프로모션 참여군의 방문 빈도 차이 반영,60대,moderate,모델 입력 권장,"비프로모션 평균 0.1116, 프로모션 평균 0.1257, 차이 +0.0141, p=0.04981, FDR=0.4391, RBC=+0.1112"
dv_age60_recent_release_180d_ratio,age_interaction,"ott_release_month, watch_day, age",60대 여부 * 최근 180일 공개작 시청 비중,60대 프로모션 참여군에서 최신작 선호 경향 반영,60대,moderate,모델 입력 권장,"비프로모션 평균 0.1697, 프로모션 평균 0.2387, 차이 +0.0690, p=0.02336, FDR=0.4391, RBC=+0.1185"
dv_age60_recent_release_365d_ratio,age_interaction,"ott_release_month, watch_day, age",60대 여부 * 최근 365일 공개작 시청 비중,60대에서 최신 콘텐츠 소비 차이 반영,60대,moderate,모델 입력 권장,"비프로모션 평균 0.2145, 프로모션 평균 0.2908, 차이 +0.0763, p=0.02439, FDR=0.4391, RBC=+0.1209"
dv_age60_w3_to_w1_ratio_capped,age_interaction,"watch_day, watch_time(min), reg_date, age",60대 여부 * 3주차/1주차 시청시간 비율 capped,60대 프로모션 참여군에서 중반 시청 확장 패턴 반영,60대,moderate,모델 입력 권장,"비프로모션 평균 0.7643, 프로모션 평균 0.8661, 차이 +0.1018, p=0.03531, FDR=0.4391, RBC=+0.1071"
