feature_name,domain,selection_tier,source_columns,formula,short_description,significant_age_count,significant_age_bands,direction_on_significant_bands,min_pvalue,mean_abs_effect_rbc,max_abs_effect_rbc,max_abs_corr_in_final_set,max_corr_partner,vif_centered
mem_is_verified,membership,strong_common,is_user_verified,mem_is_verified = 1[is_user_verified = 1],본인 인증 완료 여부,5,"10대, 20대, 30대, 40대, 60대",10대:promo_gt_nonpromo; 20대:promo_gt_nonpromo; 30대:promo_gt_nonpromo; 40대:promo_gt_nonpromo; 60대:promo_gt_nonpromo,0.0,0.2388566877852547,0.805870236869207,0.5372062063263208,mem_billing_method_140_flag,1.602021429295278
mem_billing_method_140_flag,membership,strong_common,billing_method,mem_billing_method_140_flag = 1[billing_method = 140],청구 방식 코드 140 사용 여부,5,"10대, 20대, 30대, 40대, 60대",10대:promo_lt_nonpromo; 20대:promo_lt_nonpromo; 30대:promo_lt_nonpromo; 40대:promo_lt_nonpromo; 60대:promo_lt_nonpromo,0.0,0.2170616192943921,0.4924476484723652,0.5372062063263208,mem_is_verified,2.8933839999279476
mem_reg_hour_morning,membership,strong_common,reg_hour,mem_reg_hour_morning = 1[6 <= reg_hour <= 11],오전 시간대 가입 여부,5,"10대, 20대, 30대, 40대, 60대",10대:promo_lt_nonpromo; 20대:promo_lt_nonpromo; 30대:promo_lt_nonpromo; 40대:promo_lt_nonpromo; 60대:promo_lt_nonpromo,9.376465779381066e-53,0.15645293067900093,0.3334100322135296,0.27388751914443743,mem_reg_hour_afternoon,1.1684572998167089
mem_verified_premium_screen,membership,strong_common,"is_user_verified, max_screen",mem_verified_premium_screen = 1[is_user_verified = 1] x 1[max_screen >= 4],인증 완료와 프리미엄 동시 시청 옵션 동시 충족 여부,5,"10대, 20대, 30대, 40대, 60대",10대:promo_gt_nonpromo; 20대:promo_gt_nonpromo; 30대:promo_gt_nonpromo; 40대:promo_gt_nonpromo; 60대:promo_gt_nonpromo,2.3454458158435245e-125,0.14846814946957496,0.19197729713146183,0.6182007095452257,mem_verified_multi_screen,1.6667242841894718
mem_is_churn_prevented_flag,membership,strong_common,is_churn_prevented,mem_is_churn_prevented_flag = 1[is_churn_prevented = 1],이탈 방지 플래그 보유 여부,5,"10대, 20대, 30대, 40대, 60대",10대:promo_lt_nonpromo; 20대:promo_lt_nonpromo; 30대:promo_lt_nonpromo; 40대:promo_gt_nonpromo; 60대:promo_lt_nonpromo,1.0274189271125376e-49,0.14640063374874435,0.26031599938640904,0.1807795960081977,mem_billing_method_140_flag,1.0557479268315682
mem_reg_hour,membership,strong_common,reg_hour,mem_reg_hour = reg_hour,가입 시각 원값,5,"10대, 20대, 30대, 40대, 60대",10대:promo_gt_nonpromo; 20대:promo_gt_nonpromo; 30대:promo_gt_nonpromo; 40대:promo_gt_nonpromo; 60대:promo_gt_nonpromo,2.1277594622232093e-19,0.1287996072272914,0.17753234136114948,0.26306771801322626,mem_reg_hour_morning,1.0793782728608206
mem_device_mobile_flag,membership,strong_common,payment_device,mem_device_mobile_flag = 1[payment_device = 'mobile'],mobile 기기 또는 채널 사용 여부,5,"10대, 20대, 30대, 40대, 60대",10대:promo_gt_nonpromo; 20대:promo_gt_nonpromo; 30대:promo_gt_nonpromo; 40대:promo_gt_nonpromo; 60대:promo_gt_nonpromo,8.184135944335413e-63,0.11406431454808537,0.18248665151480303,0.21228546695264516,mem_device_pc_flag,1.4272879393096574
mem_device_pc_flag,membership,strong_common,payment_device,mem_device_pc_flag = 1[payment_device = 'pc'],pc 기기 또는 채널 사용 여부,5,"10대, 20대, 30대, 40대, 60대",10대:promo_gt_nonpromo; 20대:promo_gt_nonpromo; 30대:promo_gt_nonpromo; 40대:promo_gt_nonpromo; 60대:promo_lt_nonpromo,5.135531013037241e-22,0.08990972473724428,0.1280104310477067,0.23750052621359463,mem_billing_method_151_flag,1.4358302260504818
mem_tenure_days,membership,common_core,"reg_date, end_date",mem_tenure_days = (end_date_dt - reg_date_dt).days,가입 시작일부터 종료일까지의 멤버십 유지 일수,4,"10대, 20대, 30대, 40대",10대:promo_gt_nonpromo; 20대:promo_lt_nonpromo; 30대:promo_lt_nonpromo; 40대:promo_lt_nonpromo,0.0,0.2010436067285243,0.4808472049994046,0.13963679364219594,mem_billing_method_140_flag,1.1332665619411257
mem_verified_multi_screen,membership,common_core,"is_user_verified, max_screen",mem_verified_multi_screen = 1[is_user_verified = 1] x 1[max_screen >= 2],인증 완료와 멀티 스크린 옵션 동시 충족 여부,4,"10대, 20대, 30대, 40대",10대:promo_gt_nonpromo; 20대:promo_gt_nonpromo; 30대:promo_gt_nonpromo; 40대:promo_gt_nonpromo,1.3026654715884954e-190,0.12165228887269756,0.26330874265257076,0.6182007095452257,mem_verified_premium_screen,1.8524208343868274
