feature,dtype,is_numeric,is_binary_0_1,non_null_n,missing_rate,n_unique,zero_variance,from_06_candidate_features,force_audit_feature,analysis_group,feature_family,feature_type,decision,source,interpretation_note,p_value,p_value_fdr_global,p_value_fdr_by_group,p_value_fdr_by_group_family,abs_diff,effect_size,rate_or_mean_diff,high_corr_pair_count,max_abs_corr,cluster_id,cluster_representative,cluster_size,is_representative,max_vif,max_vif_severity,structural_relation_count,proposed_action,audit_note
has_content_feature,int64,True,True,14922,0.0,2,False,False,True,,,,,,,,,,,,,,7,1.0,1.0,has_content_feature,8.0,True,1.0,OK,5,DROP_CANDIDATE,구조적 duplicate/complement 관계 존재; 고상관 연결이 많음
has_usage_feature,int64,True,True,14922,0.0,2,False,False,True,,,,,,,,,,,,,,7,1.0,1.0,has_content_feature,8.0,False,1.0,OK,5,DROP_CANDIDATE,구조적 duplicate/complement 관계 존재; 고상관 연결이 많음; cluster 대표 변수는 has_content_feature
has_watch_obs,int64,True,True,14922,0.0,2,False,False,True,,,,,,,,,,,,,,7,1.0,1.0,has_content_feature,8.0,False,1.0,OK,5,DROP_CANDIDATE,구조적 duplicate/complement 관계 존재; 고상관 연결이 많음; cluster 대표 변수는 has_content_feature
no_content_feature_flag,int64,True,True,14922,0.0,2,False,False,True,,,,,,,,,,,,,,7,1.0,1.0,has_content_feature,8.0,False,1.0,OK,5,DROP_CANDIDATE,구조적 duplicate/complement 관계 존재; 고상관 연결이 많음; cluster 대표 변수는 has_content_feature
no_usage_feature_flag,int64,True,True,14922,0.0,2,False,False,True,,,,,,,,,,,,,,7,1.0,1.0,has_content_feature,8.0,False,1.0,OK,5,DROP_CANDIDATE,구조적 duplicate/complement 관계 존재; 고상관 연결이 많음; cluster 대표 변수는 has_content_feature
no_watch_obs_flag,int64,True,True,14922,0.0,2,False,False,True,,,,,,,,,,,,,,7,1.0,1.0,has_content_feature,8.0,False,1.0,OK,5,DROP_CANDIDATE,구조적 duplicate/complement 관계 존재; 고상관 연결이 많음; cluster 대표 변수는 has_content_feature
is_100won,int64,True,True,14922,0.0,2,False,True,True,100won,membership,binary,INSUFFICIENT_DATA,significance_or_force_include,무작위 배정이 아니므로 인과효과로 단정하지 않는다. 100원딜 고객군의 재구독 행동 차이로 해석한다.,,,,,,,,1,1.0,8.0,is_100won,2.0,True,5.954611543257197,WARN,1,DROP_CANDIDATE,구조적 duplicate/complement 관계 존재; VIF WARN
is_promotion,int64,True,True,14922,0.0,2,False,True,True,100won,membership,binary,INSUFFICIENT_DATA,significance_or_force_include,무작위 배정이 아니므로 인과효과로 단정하지 않는다. 100원딜 고객군의 재구독 행동 차이로 해석한다.,,,,,,,,1,1.0,8.0,is_100won,2.0,False,5.954611543257195,WARN,1,DROP_CANDIDATE,구조적 duplicate/complement 관계 존재; VIF WARN; cluster 대표 변수는 is_100won
has_prior_churn_prevention_benefit,int64,True,True,14922,0.0,2,False,True,False,100won,membership,binary,KEEP_CORE,significance_or_force_include,,8.636746328290056e-23,2.8089054535870605e-21,2.2208776272745853e-21,2.303132354210681e-22,0.137934714835389,0.1036809258417083,0.137934714835389,1,1.0,7.0,has_prior_churn_prevention_benefit,2.0,True,1.0,OK,1,DROP_CANDIDATE,구조적 duplicate/complement 관계 존재
is_churn_prevented,int64,True,True,14922,0.0,2,False,True,False,100won,membership,binary,KEEP_CORE,significance_or_force_include,과거 해지방어 혜택 수혜 이력으로 해석한다. 이번 구독 이벤트 이후 발생한 개입이 섞이면 누수 위험이 있다.,8.636746328290056e-23,2.8089054535870605e-21,2.2208776272745853e-21,2.303132354210681e-22,0.137934714835389,0.1036809258417083,0.137934714835389,1,1.0,7.0,has_prior_churn_prevention_benefit,2.0,False,1.0,OK,1,DROP_CANDIDATE,구조적 duplicate/complement 관계 존재; cluster 대표 변수는 has_prior_churn_prevention_benefit
front_loaded_ratio,float64,True,False,14922,0.0,5979,False,False,True,,,,,,,,,,,,,,2,1.0,3.0,front_loaded_ratio,3.0,True,1.0,OK,0,KEEP,고상관 연결이 많음
late_ratio,float64,True,False,14922,0.0,5953,False,False,True,,,,,,,,,,,,,,2,1.0,4.0,late_ratio,3.0,True,1.0,OK,0,KEEP,고상관 연결이 많음
