check_name,status,expected,actual,notes
public_root_exists,PASS,PUBLIC root exists,True,
handoff_output_folder_exists,PASS,handoff folder exists,True,
output_folder_exists,PASS,output folder exists,True,
input_validation_created,PASS,input validation exists,C:\Code\ott-churn-prediction\PUBLIC\handoff\PUBLIC_12_four_model_comparison_review_260520\12_input_file_validation.csv,
four_final_result_files_found,PASS,4 final_result files,4,
four_trials_all_files_found,PASS,4 trials_all files,4,
log_retention_condition_check_created,PASS,condition check exists,C:\Code\ott-churn-prediction\PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review\12_log_retention_condition_check.csv,
log_retention_condition_all_pass,PASS,all condition_status PASS,PASS:4,
final_result_metric_summary_created,PASS,metric summary exists,C:\Code\ott-churn-prediction\PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review\12_final_result_metric_summary.csv,
trials_overfit_stability_summary_created,PASS,stability summary exists,C:\Code\ott-churn-prediction\PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review\12_trials_overfit_stability_summary.csv,
scopewise_gb_vs_lr_comparison_created,PASS,scopewise comparison exists,C:\Code\ott-churn-prediction\PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review\12_scopewise_gb_vs_lr_comparison.csv,
oof_readiness_decision_created,PASS,oof readiness exists,C:\Code\ott-churn-prediction\PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review\12_oof_readiness_decision.csv,
readme_created,PASS,review README exists,C:\Code\ott-churn-prediction\PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review\README.md,
note_md_append_completed,PASS,note append heading exists,C:\Code\ott-churn-prediction\PUBLIC\note.md,
no_model_execution_performed,PASS,no model execution,Only saved CSVs were read and summarized,
no_notebook_execution_performed,PASS,no notebook execution,No jupyter or nbconvert command was run,
no_optuna_performed,PASS,no Optuna run,No Optuna command was run,
no_shap_performed,PASS,no SHAP run,No SHAP command was run,
no_segmentation_performed,PASS,no segmentation run,No segmentation command was run,
no_oof_generation_performed,PASS,no OOF score table generation,Only OOF readiness/audit outputs were updated,
no_raw_source_modified,PASS,no raw source writes,"Generated outputs are under PUBLIC/handoff, PUBLIC/results/12, PUBLIC/note.md, and PUBLIC/zip",
no_park_ingyeom_modified,PASS,no park.ingyeom writes,Script writes only under PUBLIC,
no_deletion_performed,PASS,no deletion operation,Script creates or overwrites review artifacts only,
review_zip_created,PASS,review zip exists,C:\Code\ott-churn-prediction\PUBLIC\zip\PUBLIC_12_four_model_comparison_review_260520_review_package.zip,
zip_inventory_created,PASS,zip inventory exists,C:\Code\ott-churn-prediction\PUBLIC\handoff\PUBLIC_12_four_model_comparison_review_260520\PUBLIC_12_four_model_comparison_review_zip_inventory.csv,
high_auc_suspicion_audit_created,PASS,high-AUC suspicion audit exists,C:\Code\ott-churn-prediction\PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review\12_high_auc_suspicion_audit.csv,
suspicious_high_auc_flags_recorded,WARN,flag AUC >= 0.90 as suspicious,suspicious_high_auc_flag_count=4,WARN is intentional because high AUC requires review.
leakage_proxy_feature_audit_created,PASS,leakage/proxy feature audit exists,C:\Code\ott-churn-prediction\PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review\12_leakage_proxy_feature_audit.csv,
leakage_proxy_risk_not_passed_as_final,WARN,do not PASS final leakage/proxy risk if target-like features exist,statuses=FAIL,Requires user review before final wording.
split_policy_audit_created,PASS,split policy audit exists,C:\Code\ott-churn-prediction\PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review\12_split_policy_audit.csv,
split_policy_not_passed_without_group_confirmation,WARN,do not PASS group-aware split without direct confirmation,statuses=WARN,StratifiedKFold and GroupKFold-not-used caveat were found.
final_model_selection_allowed,PASS,final model selection allowed must be no,no,
high_auc_caution_readme_recorded,PASS,mandatory caution wording in README,C:\Code\ott-churn-prediction\PUBLIC\results\12_model_family_comparison_260520\four_model_comparison_review\README.md,
high_auc_caution_note_recorded,PASS,mandatory caution wording in note.md,C:\Code\ott-churn-prediction\PUBLIC\note.md,
