column_name,dtype,missing_count,unique_count,feature_family,sub_family,original_role_if_known,likely_business_intent,team_feature_or_source_column,availability_at_day21,timing_risk,leakage_risk,target_proxy_risk,response_period_risk,llm_proposed_decision,reason,caution,evidence_source,final_decision_status,user_approval_required
USER_KEY,str,0,23134,identifier,id,row_id,row identifier,yes,n/a,n/a,n/a,n/a,forbidden_or_audit_only,Row identifier; never a model feature; use as group key in CV only,CV group key only,no,05x_rule_based_classification,pending_user_approval,
product_code,str,0,46,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes
price,float64,0,32,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes
billing_method,int64,0,9,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes
max_screen,float64,0,3,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes
is_promotion,int64,0,2,split_variable,top_level_split,split_axis,top-level promotion split,yes,yes,low,low,low,low,forbidden_or_audit_only,Split axis only; allowed only in overall_with_promotion scope; forbidden in groupwise models,Exclude from promotion_only/nonpromotion_only,05x_rule_based_classification,pending_user_approval,no
is_churn_prevented,int64,0,2,intervention_outcome,churn_defense,outcome_flag,churn defense intervention flag,yes,unclear,high,medium,medium,high,forbidden_or_audit_only,If current-cycle outcome: leakage. If historical: potentially safe. Confirm timing.,Must confirm historical vs current-cycle,05x_rule_based_classification,pending_user_approval,yes
payment_device,str,0,6,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes
is_user_verified,int64,0,2,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes
gender,str,0,3,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes
age,float64,0,12,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes
reg_date,str,0,15,registration_metadata,timestamp,day0_anchor,day0 registration anchor,yes,yes,medium,low,low,low,forbidden_or_audit_only,"Raw date causes cohort collinearity; prefer derived features (reg_hour, reg_is_weekend)",Do not use raw reg_date as feature,05x_rule_based_classification,pending_user_approval,yes
reg_hour,int64,0,24,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes
end_date,str,0,38,subscription_metadata,subscription_end,event_timestamp,subscription end date,yes,unclear,high,high,medium,high,forbidden_or_audit_only,May encode outcome; unclear if observable at day21 scoring point,Confirm day21 observability before any use,05x_rule_based_classification,pending_user_approval,yes
is_repurchase,int64,0,2,target,target,target_label,next-month repurchase label,yes,post-scoring,high,high,target_itself,forbidden_or_audit_only,Target variable; including as feature causes direct leakage,Never use as feature,no,05x_rule_based_classification,pending_user_approval,
is_standard,int64,0,2,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes
is_premium,int64,0,2,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes
age_group,int64,0,7,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes
is_female,int64,0,2,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes
is_male,int64,0,2,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes
reg_is_weekend,int64,0,2,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes
reg_hour_morning,int64,0,2,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes
reg_hour_afternoon,int64,0,2,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes
reg_hour_evening,int64,0,2,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes
reg_hour_night,int64,0,2,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes
payment_is_mobile,int64,0,2,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes
payment_is_pc,int64,0,2,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes
payment_is_android,int64,0,2,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes
payment_is_ios,int64,0,2,membership_context,membership_or_demographic,membership_or_registration,user/plan characteristics known at registration,yes,yes,low,low,low,low,candidate_for_expanded_feature_set,Known at subscription start; available at day21 scoring point,Check redundancy between derived and parent columns,05x_rule_based_classification,pending_user_approval,yes
total_watch_count,int64,0,60,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes
unique_movie,int64,0,42,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes
watch_days,int64,0,20,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes
active_ratio,float64,0,20,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes
total_watch_time(min),int64,0,1547,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes
watch_per_day,float64,0,239,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes
avg_watch_time(min),float64,0,5290,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes
median_watch_time(min),float64,0,331,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes
std_watch_time(min),float64,0,15547,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes
avg_daily_watch_time(min),float64,0,3896,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes
max_watch_time(min),int64,0,201,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes
max_daily_watch_time(min),int64,0,634,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes
max_daily_sessions,int64,0,27,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes
recency,int64,0,22,usage_recency,recency,usage_recency,days since last viewing,yes,unclear,high,medium,medium,medium,unresolved_user_review_required,Reference date unknown; must confirm it is day21 or earlier as reference point,If reference_date > day21 this leaks future behavior,05x_rule_based_classification,pending_user_approval,yes
avg_gap_between_watch_days,float64,0,118,usage_behavior_summary,total_or_aggregate,usage_aggregate,aggregate viewing behavior metric,yes,likely_yes,medium,low,low,low,candidate_for_expanded_with_caveat,09b archive validated total_watch_time/count match day0-20; other aggregate cols likely same window but naming suggests all-period,total_ naming misleading; confirm all cols are day0-20 window,05x_rule_based_classification,pending_user_approval,yes
avg_gap_w1_watch_days,float64,0,13,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no
avg_gap_w2_watch_days,float64,0,13,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no
avg_gap_w3_watch_days,float64,0,13,weekly_behavior,conservative_window,weekly_feature,day0-20 weekly viewing behavior,yes,yes,low,low,low,low,keep_in_conservative_safe_22,Confirmed weekly-window feature; validated in pre-13b baseline,,05x_rule_based_classification,pending_user_approval,no
