promo_scope,representative_segment_id,provisional_label,demographic_modifier,observed_demographic_pattern,observed_behavior_difference,recommended_message_direction,recommended_channel_or_touchpoint,recommended_content_strategy,evidence_file,evidence_strength,risk_of_overinterpretation,final_status
promo0,promo0_s01,promo0_high_risk_week3_inactive,none_by_default,profile available; not a rule,week3_inactive:1.00:flag; retention_decay:0.80:flag; only_w1:0.57:flag; low_activity:0.79:flag; usage_concentrated:0.77:flag; genre_preference_clear:0.55:flag; content_preference_signal:0.99:broad_marker,renewal-adjacent save or reactivation reminder,week3 or renewal-proximity touchpoint,content context can be used only as broad personalization cue,17_segment_demographic_profile_hotfix.csv,weak,high if demographic is treated as cause,not_recommended_yet
promo0,promo0_s02,promo0_high_risk_retention_decay,none_by_default,profile available; not a rule,retention_decay:1.00:flag; low_activity:0.31:flag; usage_concentrated:0.27:flag; content_preference_signal:0.97:broad_marker,retention decay recovery nudge,week2-week3 retention nudge,content context can be used only as broad personalization cue,17_segment_demographic_profile_hotfix.csv,weak,high if demographic is treated as cause,not_recommended_yet
promo0,promo0_s03,promo0_high_risk_only_w1_or_cold_start_weak,none_by_default,profile available; not a rule,cold_start_weak:1.00:flag; low_activity:0.99:flag; usage_concentrated:0.96:flag; genre_preference_clear:0.82:flag; content_preference_signal:1.00:broad_marker,onboarding reactivation prompt,early onboarding touchpoint,content context can be used only as broad personalization cue,17_segment_demographic_profile_hotfix.csv,weak,high if demographic is treated as cause,not_recommended_yet
promo0,promo0_s04,promo0_high_risk_low_activity,none_by_default,profile available; not a rule,low_activity:1.00:flag; usage_concentrated:0.58:flag; content_preference_signal:1.00:broad_marker,lightweight activity prompt,requires campaign design review,content context can be used only as broad personalization cue,17_segment_demographic_profile_hotfix.csv,weak,high if demographic is treated as cause,not_recommended_yet
promo0,promo0_s05,promo0_high_risk_genre_preference_clear,none_by_default,profile available; not a rule,genre_preference_clear:1.00:flag; content_preference_signal:1.00:broad_marker,genre-aware recommendation test,requires campaign design review,genre-based recommendation candidate with stronger evidence,17_segment_demographic_profile_hotfix.csv,weak,high if demographic is treated as cause,not_recommended_yet
promo0,promo0_s06,promo0_stable_usage_lower_risk,none_by_default,profile available; not a rule,content_preference_signal:0.93:broad_marker; stable_usage:1.00:flag,benefit reminder or conversion candidate,requires campaign design review,content context can be used only as broad personalization cue,17_segment_demographic_profile_hotfix.csv,weak,high if demographic is treated as cause,not_recommended_yet
promo0,promo0_s99,promo0_other_needs_review,none_by_default,profile available; not a rule,week3_inactive:0.34:flag; retention_decay:0.56:flag; cold_start_weak:0.46:flag; low_activity:0.48:flag; usage_concentrated:0.47:flag; genre_preference_clear:0.31:flag; content_preference_signal:0.98:broad_marker,needs further review,requires campaign design review,content context can be used only as broad personalization cue,17_segment_demographic_profile_hotfix.csv,weak,high if demographic is treated as cause,not_recommended_yet
promo1,promo1_s01,promo1_high_risk_week3_inactive,none_by_default,profile available; not a rule,week3_inactive:1.00:flag; retention_decay:0.81:flag; only_w1:0.55:flag; low_activity:0.79:flag; usage_concentrated:0.77:flag; genre_preference_clear:0.56:flag; content_preference_signal:1.00:broad_marker,renewal-adjacent save or reactivation reminder,week3 or renewal-proximity touchpoint,content context can be used only as broad personalization cue,17_segment_demographic_profile_hotfix.csv,weak,high if demographic is treated as cause,not_recommended_yet
promo1,promo1_s02,promo1_high_risk_retention_decay,none_by_default,profile available; not a rule,retention_decay:1.00:flag; low_activity:0.32:flag; content_preference_signal:0.97:broad_marker,retention decay recovery nudge,week2-week3 retention nudge,content context can be used only as broad personalization cue,17_segment_demographic_profile_hotfix.csv,weak,high if demographic is treated as cause,not_recommended_yet
promo1,promo1_s03,promo1_high_risk_only_w1_or_cold_start_weak,none_by_default,profile available; not a rule,cold_start_weak:1.00:flag; low_activity:0.92:flag; usage_concentrated:0.89:flag; genre_preference_clear:0.75:flag; content_preference_signal:1.00:broad_marker,onboarding reactivation prompt,early onboarding touchpoint,content context can be used only as broad personalization cue,17_segment_demographic_profile_hotfix.csv,weak,high if demographic is treated as cause,not_recommended_yet
promo1,promo1_s04,promo1_high_risk_low_activity,none_by_default,profile available; not a rule,low_activity:1.00:flag; usage_concentrated:0.34:flag; content_preference_signal:1.00:broad_marker,lightweight activity prompt,requires campaign design review,content context can be used only as broad personalization cue,17_segment_demographic_profile_hotfix.csv,weak,high if demographic is treated as cause,not_recommended_yet
promo1,promo1_s05,promo1_high_risk_genre_preference_clear,none_by_default,profile available; not a rule,genre_preference_clear:1.00:flag; content_preference_signal:0.91:broad_marker,genre-aware recommendation test,requires campaign design review,genre-based recommendation candidate with stronger evidence,17_segment_demographic_profile_hotfix.csv,weak,high if demographic is treated as cause,not_recommended_yet
promo1,promo1_s06,promo1_stable_usage_lower_risk,none_by_default,profile available; not a rule,content_preference_signal:0.91:broad_marker; stable_usage:1.00:flag,benefit reminder or conversion candidate,requires campaign design review,content context can be used only as broad personalization cue,17_segment_demographic_profile_hotfix.csv,weak,high if demographic is treated as cause,not_recommended_yet
promo1,promo1_s99,promo1_other_needs_review,none_by_default,profile available; not a rule,week3_inactive:0.34:flag; retention_decay:0.55:flag; cold_start_weak:0.46:flag; low_activity:0.47:flag; usage_concentrated:0.46:flag; genre_preference_clear:0.32:flag; content_preference_signal:0.98:broad_marker,needs further review,requires campaign design review,content context can be used only as broad personalization cue,17_segment_demographic_profile_hotfix.csv,weak,high if demographic is treated as cause,not_recommended_yet
