audit_item,status,observed_value,issue_severity,hotfix_action,notes
demographic_action_candidate_count,FAIL,60,major,shortlist_to_15_to_20_meaningful_entries,"60 rows total — all include_in_storyline=yes is too optimistic; shortlist needed"
include_in_storyline_yes_count,FAIL,60,major,reduce_yes_to_8_promo1_confirmed,"100% yes rate is unrealistic; hotfix reduces to 8 promo1 yes + 2 limited + 6 comparison_only"
evidence_strength_distribution,WARN,all_moderate,minor,acceptable_as_is,"All entries show moderate evidence strength — acceptable but note that 'moderate' should not imply certainty"
age_group_duplication_per_segment,FAIL,"age_group=30 appears 3x for high_risk_activation_or_low_engagement promo1 (total_watch_time_min|watch_time_min_w2|watch_time_min_w3)",major,merge_repeated_age_group_per_segment,"Same age_group repeated per feature row; hotfix merges into single consolidated row per age_group per segment"
promo0_in_action_matrix_as_business_candidate,FAIL,"promo0 rows have segment_role=promo0_comparison_scope but final_status=provisional_business_candidate (same as promo1)",major,separate_promo0_to_comparison_reference_file,"promo0 must be comparison reference only — not business candidate; hotfix creates separate promo0_comparison_reference file"
small_n_genre_cue_in_main_storyline,FAIL,"genre_or_content_action_cue n=11(promo1) n=5(promo0) in main comparison CSV",blocking,demote_to_profile_action_cue,"n<300 threshold not met; small-n signal in main storyline comparison causes overinterpretation; demoted to profile/action_cue only"
mid_risk_retention_watchlist_missing_from_storyline,FAIL,mid_risk_retention_watchlist not present in 18_promo1_vs_promo0_storyline_comparison.csv,major,add_mid_risk_to_storyline_comparison_hotfix,"mid_risk n=1309 (promo1) is a substantial segment and must be in main comparison; hotfix adds it"
html_flag_dictionary,FAIL,missing from 18_segment_visual_guide_v2.html,major,add_full_flag_dictionary_section,"Original HTML has no flag dictionary; hotfix adds section with all 7 flags defined"
html_segment_card_completeness,FAIL,summary_level_only — no full KPI cards with promo0 comparison,major,add_full_segment_cards_with_kpi,"Original HTML lacks: per-segment KPI boxes, promo0 comparison values, safe/unsafe wording per segment; hotfix adds all"
html_safe_unsafe_wording,FAIL,missing from HTML,major,add_safe_unsafe_wording_section,"Original HTML does not include safe/unsafe wording guidance; hotfix adds comprehensive table"
html_demographic_action_layer,FAIL,not present in HTML,major,add_demographic_action_layer_section,"No demographic action section in original HTML; hotfix adds shortlist summary and caveats"
html_100won_narrative_depth,WARN,mentioned_but_thin,minor,enhance_narrative_section,"100원딜 narrative exists but lacks depth on price gap (100 vs 7900), conversion framing, and lifecycle timing"
promo1_main_scope_emphasis,WARN,present_but_weak,minor,strengthen_promo1_as_protagonist,"promo1 is mentioned as main scope but framing could be clearer; hotfix strengthens 100원딜 protagonist framing"
week3_intervention_narrative,PASS,present — day18~day20 intervention timing mentioned,pass,no_action_needed,"3주차 개입 타이밍 narrative is present and appropriate"
