feature_set_name,refinement_group_id,refinement_group_name,candidate_features,risk_type,why_redundant_or_high_vif,evidence_from_10x,recommended_handling,keep_in_expanded_full,allow_in_redundancy_aware_sensitivity,model_family_caution,SHAP_interpretation_caution,user_approval_required,removal_allowed_now,notes
expanded_full,A,week_watch_level_change_ratio_family,watch_time_min_w1; watch_time_min_w2; watch_time_min_w3; diff_between_w2_w1; diff_between_w3_w2; diff_between_w3_w1; retention_w2_ratio; retention_w3_ratio,high_vif; algebraic_dependency; same_behavior_family_redundancy,"Weekly watch levels, differences, and retention ratios are algebraically related views of the same weekly usage trajectory.",10x_vif_pre_audit.csv; 10x_pairwise_correlation_audit.csv; 10x_redundancy_cluster_pre_audit.csv,expanded_full에서는 모두 보존한다. Logistic Regression의 개별 계수는 독립 효과로 해석하지 않는다. 11x에서는 level/change/ratio family 단위로 sensitivity 또는 interpretation grouping을 검토한다.,True,True,Linear coefficients can be unstable under multicollinearity; tree/boosting models are not automatically excluded.,Interpret as weekly usage trajectory family because attribution can split across correlated features.,True,False,Policy table only; no current removal decision.
expanded_full,B,watch_time_session_pair_family,watch_time_min_w1; watch_session_w1; watch_time_min_w2; watch_session_w2; watch_time_min_w3; watch_session_w3,high_correlation; same_behavior_family_redundancy,Weekly watch time and session counts are related usage intensity measures.,10x_pairwise_correlation_audit.csv; 10x_redundancy_cluster_pre_audit.csv,"watch time은 체류량, watch session은 방문 빈도이므로 의미가 다르다. 자동 제거하지 않는다. SHAP 및 feature importance 해석에서는 weekly usage family로 묶는다.",True,True,Avoid coefficient-level independent effect claims.,Group as weekly usage family.,True,False,Policy table only; no current removal decision.
expanded_full,C,active_days_ratio_duplicate_like_family,watch_days; active_ratio,duplicate_like; perfect_or_near_perfect_correlation,Both features summarize activity days over the same observation window.,10x_duplicate_like_feature_audit.csv; 10x_pairwise_correlation_audit.csv,expanded_full에서는 둘 다 보존한다. 11x redundancy-aware sensitivity에서 둘 중 하나만 사용하는 비교를 허용할 수 있다. 최종 제거는 사용자 승인 필요.,True,True,Sensitivity may compare single representative variants.,Do not overread the ranking gap between near-duplicate measures.,True,False,Policy table only; no current removal decision.
expanded_full,D,plan_onehot_family,is_basic; is_standard; is_premium,one_hot_full_set; linear_model_multicollinearity,Full one-hot plan set can create linear-model collinearity with an intercept.,10x_vif_pre_audit.csv; 10x_redundancy_cluster_pre_audit.csv,expanded_full에서는 보존한다. Logistic Regression에서는 기준 범주 하나를 reference로 제외하는 sensitivity를 검토할 수 있다. Tree/boosting에서는 모두 사용 가능하나 해석 시 plan family로 묶는다.,True,True,Reference-category sensitivity applies to Logistic Regression.,"Interpret as plan family, not isolated plan dummy effects.",True,False,Policy table only; no current removal decision.
expanded_full,E,registration_timeband_onehot_family,reg_hour_morning; reg_hour_afternoon; reg_hour_evening; reg_hour_night,one_hot_full_set; linear_model_multicollinearity,Full time-band one-hot set can create linear-model collinearity with an intercept.,10x_vif_pre_audit.csv; 10x_redundancy_cluster_pre_audit.csv,expanded_full에서는 보존한다. Logistic Regression에서는 기준 시간대 하나를 reference로 제외하는 sensitivity를 검토할 수 있다. Tree/boosting에서는 모두 사용 가능하나 해석 시 registration_time_family로 묶는다.,True,True,Reference-category sensitivity applies to Logistic Regression.,Interpret as registration_time_family.,True,False,Policy table only; no current removal decision.
expanded_full,F,new_movie_nested_ratio_family,new_movie_in_90d_ratio; new_movie_in_180d_ratio; new_movie_in_365d_ratio,nested_ratio; high_correlation,"90d, 180d, and 365d ratios are nested release-window measures.",10x_pairwise_correlation_audit.csv; 10x_redundancy_cluster_pre_audit.csv,"90일, 180일, 365일은 서로 포함관계가 있으므로 상관이 높을 수 있다. expanded_full에서는 보존한다. SHAP에서는 new_movie_recency_family로 묶는다. sensitivity에서는 엄격한 최신성 대표와 넓은 최신성 대표를 비교할 수 있다.",True,True,Nested windows should not be treated as independent effects.,Group as new_movie_recency_family.,True,False,Policy table only; no current removal decision.
expanded_full,G,genre_ratio_compositional_family,drama_ratio; comedy_ratio; romance_ratio; action_adventure_ratio; thriller_crime_ratio; horror_ratio; sf_fantasy_ratio; family_animation_ratio; documentary_ratio; historical_war_ratio; other_ratio,compositional_ratio; closed_sum_dependency; high_vif_possible; zero_inflation,Genre ratios form a compositional profile and may be zero-inflated.,10x_zero_inflation_and_tail_risk_audit.csv; 10x_vif_pre_audit.csv; 10x_caveat_and_claim_guardrail.csv,genre ratio는 비율형 compositional feature이므로 서로 독립적인 변수처럼 해석하면 안 된다. expanded_full에서는 보존한다. SHAP에서는 content_preference_family로 묶는다. Movie_Master 동일 MOVIE_NUM 다중 category caveat를 유지한다.,True,True,Closed-sum ratios can distort individual coefficient interpretation.,Group as content_preference_family and carry Movie_Master caveat.,True,False,Policy table only; no current removal decision.
expanded_full,H,watch_summary_volume_family,total_watch_time_min; total_watch_count; unique_movie; watch_days; watch_per_day; movie_per_active_day,same_behavior_family_redundancy; high_correlation; high_vif_possible,"Volume, count, unique content, active days, and per-day summaries are related engagement measures.",10x_pairwise_correlation_audit.csv; 10x_redundancy_cluster_pre_audit.csv; 10x_vif_pre_audit.csv,"시청량, 시청 횟수, 고유 콘텐츠 수, 활동일수는 서로 관련된 volume/engagement summary다. expanded_full에서는 보존한다. 11x에서는 volume_summary_family로 묶어 해석한다.",True,True,Avoid treating each summary as a fully independent behavioral cause.,Group as volume_summary_family.,True,False,Policy table only; no current removal decision.
expanded_full,I,gap_recency_family,recency; avg_gap_between_watch_days; max_inactive_gap_days; avg_gap_w1_watch_days; avg_gap_w2_watch_days; avg_gap_w3_watch_days,temporal_gap_family_redundancy; zero_inflation; high_correlation_possible,Recency and gap features summarize temporal activity from overlapping behavior.,10x_zero_inflation_and_tail_risk_audit.csv; 10x_pairwise_correlation_audit.csv; 10x_redundancy_cluster_pre_audit.csv,최근성 및 gap feature는 같은 시간적 활동성을 다른 방식으로 요약한다. expanded_full에서는 보존한다. SHAP에서는 recency_gap_family로 묶어 해석한다.,True,True,Sparse gap values can affect linear interpretation.,Group as recency_gap_family.,True,False,Policy table only; no current removal decision.
expanded_full,J,payment_auth_default_demographic_artifact_family,payment_is_ios; is_user_verified; age_group; is_female; is_male; payment_is_mobile; payment_is_pc; is_premium,group_proxy; structural_proxy; default_demographic_artifact; cohort_construction_proxy; payment_authentication_artifact,"Payment channel, authentication, default-like demographics, and plan features may encode cohort construction or platform artifacts.",10x_near_constant_and_group_proxy_audit.csv; 10x_modeling_preflight_risk_register.csv; user domain hypothesis recorded in hotfix,"사용자 도메인 가설에 따르면 iOS App Store 경유 결제와 본인인증 미수행 계정에서 age_group=40, 성별 N, is_user_verified=0 같은 default-like demographic artifact가 발생할 수 있다. promotion 혜택 참여에는 본인인증과 프로모션 미사용 계정 조건이 필요할 수 있으므로, 이 변수들은 고객의 실제 인구통계 특성으로 직접 해석하지 않는다. expanded_full에서는 보존하되, 11x에서 scope별 민감도와 group proxy risk를 반드시 검토한다.",True,True,"Treat as structural proxy risk, not customer demographic truth.",Interpret as payment/auth/default-demographic artifact family.,True,False,age_group is managed as default demographic artifact / group-proxy risk after hotfix.
