insight_id,evidence_type,feature_or_family,interpretation,business_implication,safe_wording,unsafe_wording,caveat,use_in_presentation_candidate
SHAP_FAMILY_01,SHAP,usage_retention_behavior,This fitted candidate model assigns relatively large mean absolute SHAP contribution to this feature family.,"Use as interpretation candidate only, with EDA and redundancy caveats reviewed together.",이 모델에서 해당 feature family가 repurchase_score 설명에 크게 기여했다.,이 feature family가 이탈의 원인이다.,"Model explanation, not causality; correlated features may split importance.",yes
SHAP_FAMILY_02,SHAP,content_preference_context,This fitted candidate model assigns relatively large mean absolute SHAP contribution to this feature family.,"Use as interpretation candidate only, with EDA and redundancy caveats reviewed together.",이 모델에서 해당 feature family가 repurchase_score 설명에 크게 기여했다.,이 feature family가 이탈의 원인이다.,"Model explanation, not causality; correlated features may split importance.",yes
SHAP_FAMILY_03,SHAP,usage_retention_behavior,This fitted candidate model assigns relatively large mean absolute SHAP contribution to this feature family.,"Use as interpretation candidate only, with EDA and redundancy caveats reviewed together.",이 모델에서 해당 feature family가 repurchase_score 설명에 크게 기여했다.,이 feature family가 이탈의 원인이다.,"Model explanation, not causality; correlated features may split importance.",yes
SHAP_FAMILY_04,SHAP,usage_retention_behavior,This fitted candidate model assigns relatively large mean absolute SHAP contribution to this feature family.,"Use as interpretation candidate only, with EDA and redundancy caveats reviewed together.",이 모델에서 해당 feature family가 repurchase_score 설명에 크게 기여했다.,이 feature family가 이탈의 원인이다.,"Model explanation, not causality; correlated features may split importance.",yes
SHAP_FAMILY_05,SHAP,content_preference_context,This fitted candidate model assigns relatively large mean absolute SHAP contribution to this feature family.,"Use as interpretation candidate only, with EDA and redundancy caveats reviewed together.",이 모델에서 해당 feature family가 repurchase_score 설명에 크게 기여했다.,이 feature family가 이탈의 원인이다.,"Model explanation, not causality; correlated features may split importance.",yes
SHAP_FAMILY_06,SHAP,content_preference_context,This fitted candidate model assigns relatively large mean absolute SHAP contribution to this feature family.,"Use as interpretation candidate only, with EDA and redundancy caveats reviewed together.",이 모델에서 해당 feature family가 repurchase_score 설명에 크게 기여했다.,이 feature family가 이탈의 원인이다.,"Model explanation, not causality; correlated features may split importance.",yes
SHAP_FAMILY_07,SHAP,usage_retention_behavior,This fitted candidate model assigns relatively large mean absolute SHAP contribution to this feature family.,"Use as interpretation candidate only, with EDA and redundancy caveats reviewed together.",이 모델에서 해당 feature family가 repurchase_score 설명에 크게 기여했다.,이 feature family가 이탈의 원인이다.,"Model explanation, not causality; correlated features may split importance.",yes
SHAP_FAMILY_08,SHAP,usage_retention_behavior,This fitted candidate model assigns relatively large mean absolute SHAP contribution to this feature family.,"Use as interpretation candidate only, with EDA and redundancy caveats reviewed together.",이 모델에서 해당 feature family가 repurchase_score 설명에 크게 기여했다.,이 feature family가 이탈의 원인이다.,"Model explanation, not causality; correlated features may split importance.",yes
EDA_LINK_01,EDA,week3 usage and retention behavior,EDA and SHAP can be read together when week-3 usage signals appear in both.,"Presentation wording should say common signal, not intervention effect.",EDA와 SHAP에서 공통적으로 3주차 사용량 관련 신호가 강하게 나타났다.,3주차 사용량을 늘리면 재구매가 오른다.,Descriptive and model-explanation evidence only.,yes
REDUNDANCY_10X_01,10x,high VIF / correlated clusters,Redundant features should be interpreted as groups.,Avoid single-feature overclaim.,VIF/redundancy 때문에 family 단위 해석을 우선한다.,상관 높은 변수 하나만 제거하면 된다.,No feature removal was performed.,yes
MODEL_12X_01,12x,candidate comparison,"12x provides candidate context, not a final model.",AUC must be read with operating and calibration diagnostics.,12x는 후보 비교 근거이며 최종 모델 확정은 아니다.,12x 최고 AUC 모델이 최종 모델이다.,No threshold selected.,yes
TUNING_14X_01,14x,lightweight tuning candidates,14x tuned parameters are used to refit candidate models for explanation.,Tuning sensitivity informs SHAP candidate choice only.,14x 후보 기반으로 SHAP 해석 대상을 정했다.,14x 튜닝 결과가 최종 모델이다.,No Optuna was run in 16x.,yes
