column_order,column_name,primary_role,feature_family,sub_family,source_semantics_guess,timing_family,allowed_for_overall_model_candidate,allowed_for_groupwise_model_candidate,allowed_for_baseline_ladder_membership_only,allowed_for_baseline_ladder_activation,allowed_for_baseline_ladder_retention_w2,allowed_for_baseline_ladder_retention_w3,allowed_for_baseline_ladder_content,allowed_for_segment_design_candidate,reason,required_user_confirmation,future_step_to_resolve
45,avg_gap_w1_watch_days,activation,usage_observation,week1,explicit week1 behavior within observation window if construction matches name,week1_observation,yes,yes,review,yes,review,review,review,yes,"explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_activation
46,avg_gap_w2_watch_days,retention,usage_observation,week2_or_change,explicit week2 behavior/change within observation window if construction matches name,week2_observation,yes,yes,review,review,yes,review,review,yes,"explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_retention_w2
47,avg_gap_w3_watch_days,retention,usage_observation,week3_or_change,explicit week3 behavior/change within observation window if construction matches name,week3_observation,yes,yes,review,review,review,yes,review,yes,"explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_retention_w3
58,watch_time(min)_w1,activation,usage_observation,week1,explicit week1 behavior within observation window if construction matches name,week1_observation,yes,yes,review,yes,review,review,review,yes,"explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_activation
59,watch_time(min)_w2,retention,usage_observation,week2_or_change,explicit week2 behavior/change within observation window if construction matches name,week2_observation,yes,yes,review,review,yes,review,review,yes,"explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_retention_w2
60,watch_time(min)_w3,retention,usage_observation,week3_or_change,explicit week3 behavior/change within observation window if construction matches name,week3_observation,yes,yes,review,review,review,yes,review,yes,"explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_retention_w3
61,watch_session_w1,activation,usage_observation,week1,explicit week1 behavior within observation window if construction matches name,week1_observation,yes,yes,review,yes,review,review,review,yes,"explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_activation
62,watch_session_w2,retention,usage_observation,week2_or_change,explicit week2 behavior/change within observation window if construction matches name,week2_observation,yes,yes,review,review,yes,review,review,yes,"explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_retention_w2
63,watch_session_w3,retention,usage_observation,week3_or_change,explicit week3 behavior/change within observation window if construction matches name,week3_observation,yes,yes,review,review,review,yes,review,yes,"explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_retention_w3
68,diff_between_w3_w2,retention,usage_observation,week2_or_change,explicit week2 behavior/change within observation window if construction matches name,week2_to_week3_change,yes,yes,review,review,review,yes,review,yes,"explicit week2 behavior/change within observation window if construction matches name. Evidence: week2-week3 change. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_retention_w2
69,is_w1_over_50pct,activation,usage_observation,week1,explicit week1 behavior within observation window if construction matches name,week1_observation,yes,yes,review,yes,review,review,review,yes,"explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_activation
70,is_w2_over_50pct,retention,usage_observation,week2_or_change,explicit week2 behavior/change within observation window if construction matches name,week2_observation,yes,yes,review,review,yes,review,review,yes,"explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_retention_w2
71,is_w3_over_50pct,retention,usage_observation,week3_or_change,explicit week3 behavior/change within observation window if construction matches name,week3_observation,yes,yes,review,review,review,yes,review,yes,"explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_retention_w3
72,is_only_w1,activation,usage_observation,week1,explicit week1 behavior within observation window if construction matches name,week1_observation,yes,yes,review,yes,review,review,review,yes,"explicit week1 behavior within observation window if construction matches name. Evidence: explicit week1. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_activation
73,is_only_w2,retention,usage_observation,week2_or_change,explicit week2 behavior/change within observation window if construction matches name,week2_observation,yes,yes,review,review,yes,review,review,yes,"explicit week2 behavior/change within observation window if construction matches name. Evidence: explicit week2. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_retention_w2
74,is_only_w3,retention,usage_observation,week3_or_change,explicit week3 behavior/change within observation window if construction matches name,week3_observation,yes,yes,review,review,review,yes,review,yes,"explicit week3 behavior/change within observation window if construction matches name. Evidence: explicit week3. Conservative rule: uncertain columns remain review, not approved.",no,baseline_ladder_retention_w3
