original_feature_name,safe_model_feature_name,feature_family,model_use_plan,user_decision,final_status,formula,caveat_flag,caveat_reason
is_promotion,is_promotion,membership_context,split_key_and_overall_with_promotion_feature_only,approved_scope_limited,approved_scope_limited,source master value used as-is; split key and only allowed as a feature in overall_with_promotion,True,allowed only in overall_with_promotion; excluded from split-specific models
is_churn_prevented,is_churn_prevented,membership_context,model_feature,approved,approved_for_expanded_feature_set,source master value used as-is; historical ever received churn-prevention benefit flag,True,"approved as historical ever-benefited flag, not current-cycle post outcome"
is_user_verified,is_user_verified,membership_context,model_feature,approved,approved_for_expanded_feature_set,source master value used as-is; membership/user verification context flag,False,
is_standard,is_standard,membership_context,model_feature,approved,approved_for_expanded_feature_set,1 if max_screen == 2 else 0,False,
is_premium,is_premium,membership_context,model_feature,approved,approved_for_expanded_feature_set,1 if max_screen == 4 else 0,False,
age_group,age_group,demographic_derived,model_feature,approved,approved_for_expanded_feature_set,floor(age / 10) * 10 from source age,False,
is_female,is_female,demographic_derived,model_feature,approved,approved_for_expanded_feature_set,"1 if gender == ""F"" else 0",False,
is_male,is_male,demographic_derived,model_feature,approved,approved_for_expanded_feature_set,"1 if gender == ""M"" else 0",False,
reg_is_weekend,reg_is_weekend,registration_time_derived,model_feature,approved,approved_for_expanded_feature_set,1 if weekday(reg_date) in Saturday or Sunday else 0,False,
reg_hour_morning,reg_hour_morning,registration_time_derived,model_feature,approved,approved_for_expanded_feature_set,1 if 6 <= reg_hour <= 11 else 0,False,
reg_hour_afternoon,reg_hour_afternoon,registration_time_derived,model_feature,approved,approved_for_expanded_feature_set,1 if 12 <= reg_hour <= 17 else 0,False,
reg_hour_evening,reg_hour_evening,registration_time_derived,model_feature,approved,approved_for_expanded_feature_set,1 if 18 <= reg_hour <= 23 else 0,False,
reg_hour_night,reg_hour_night,registration_time_derived,model_feature,approved,approved_for_expanded_feature_set,1 if 0 <= reg_hour <= 5 else 0,False,
payment_is_mobile,payment_is_mobile,payment_device_derived,model_feature,approved,approved_for_expanded_feature_set,"1 if payment_device == ""mobile"" else 0",False,
payment_is_pc,payment_is_pc,payment_device_derived,model_feature,approved,approved_for_expanded_feature_set,"1 if payment_device == ""pc"" else 0",False,
payment_is_android,payment_is_android,payment_device_derived,model_feature,approved,approved_for_expanded_feature_set,"1 if payment_device == ""android"" else 0",False,
payment_is_ios,payment_is_ios,payment_device_derived,model_feature,approved,approved_for_expanded_feature_set,"1 if payment_device == ""ios"" else 0",False,
total_watch_count,total_watch_count,usage_summary,model_feature,approved,approved_for_expanded_feature_set,count of View_History_v2 watch rows per USER_NUM/USER_KEY in the observation window,False,
unique_movie,unique_movie,usage_summary,model_feature,approved,approved_for_expanded_feature_set,number of distinct MOVIE_NUM watched per USER_NUM/USER_KEY in the observation window,False,
watch_days,watch_days,usage_summary,model_feature,approved,approved_for_expanded_feature_set,number of distinct watch_day values per USER_NUM/USER_KEY in the observation window,False,
active_ratio,active_ratio,usage_summary,model_feature,approved,approved_for_expanded_feature_set,watch_days divided by the 21-day observation window length,False,
total_watch_time(min),total_watch_time_min,usage_summary,model_feature,approved,approved_for_expanded_feature_set,sum of watch_time(min) per USER_NUM/USER_KEY in the observation window,False,
watch_per_day,watch_per_day,usage_summary,model_feature,approved,approved_for_expanded_feature_set,total_watch_count divided by watch_days; 0 if no active day,False,
avg_watch_time(min),avg_watch_time_min,usage_summary,model_feature,approved,approved_for_expanded_feature_set,mean watch_time(min) per watch session,False,
median_watch_time(min),median_watch_time_min,usage_summary,model_feature,approved,approved_for_expanded_feature_set,median watch_time(min) per watch session,False,
std_watch_time(min),std_watch_time_min,usage_summary,model_feature,approved,approved_for_expanded_feature_set,standard deviation of watch_time(min) per watch session,False,
avg_daily_watch_time(min),avg_daily_watch_time_min,usage_summary,model_feature,approved,approved_for_expanded_feature_set,mean daily sum of watch_time(min) over active watch days,False,
max_watch_time(min),max_watch_time_min,usage_summary,model_feature,approved,approved_for_expanded_feature_set,maximum single-session watch_time(min),False,
max_daily_watch_time(min),max_daily_watch_time_min,usage_summary,model_feature,approved,approved_for_expanded_feature_set,maximum daily sum of watch_time(min),False,
max_daily_sessions,max_daily_sessions,usage_summary,model_feature,approved,approved_for_expanded_feature_set,maximum daily count of watch sessions,False,
recency,recency,usage_summary,model_feature,approved,approved_for_expanded_feature_set,days from observation-window end to the latest watch_day; larger means less recent activity,False,
avg_gap_between_watch_days,avg_gap_between_watch_days,usage_summary,model_feature,approved,approved_for_expanded_feature_set,mean gap in days between consecutive active watch days,False,
avg_gap_w1_watch_days,avg_gap_w1_watch_days,usage_summary,model_feature,approved,approved_for_expanded_feature_set,mean gap between active watch days inside week 1,False,
avg_gap_w2_watch_days,avg_gap_w2_watch_days,usage_summary,model_feature,approved,approved_for_expanded_feature_set,mean gap between active watch days inside week 2,False,
avg_gap_w3_watch_days,avg_gap_w3_watch_days,usage_summary,model_feature,approved,approved_for_expanded_feature_set,mean gap between active watch days inside week 3,False,
max_inactive_gap_days,max_inactive_gap_days,usage_summary,model_feature,approved,approved_for_expanded_feature_set,maximum gap in days between consecutive active watch days,False,
avg_rewatch_ratio,avg_rewatch_ratio,usage_summary,model_feature,approved,approved_for_expanded_feature_set,rewatch-session ratio per user based on repeated MOVIE_NUM views,False,
weekend_watch_ratio,weekend_watch_ratio,usage_summary,model_feature,approved,approved_for_expanded_feature_set,watch sessions on Saturday/Sunday divided by total watch sessions,False,
watch_ratio_under_1m,watch_ratio_under_1m,usage_summary,model_feature,approved,approved_for_expanded_feature_set,count of sessions with watch_time(min) <= 1 divided by total_watch_count,True,official formula recorded with <= threshold; v3 text uses < threshold and is treated as policy mismatch
watch_ratio_under_5m,watch_ratio_under_5m,usage_summary,model_feature,approved,approved_for_expanded_feature_set,count of sessions with watch_time(min) <= 5 divided by total_watch_count,True,official formula recorded with <= threshold; v3 text uses < threshold and is treated as policy mismatch
movie_per_active_day,movie_per_active_day,usage_summary,model_feature,approved,approved_for_expanded_feature_set,unique_movie divided by watch_days; 0 if no active day,False,
