column_order,column_name,primary_role,feature_family,sub_family,source_semantics_guess,timing_family,allowed_for_overall_model_candidate,allowed_for_groupwise_model_candidate,allowed_for_baseline_ladder_membership_only,allowed_for_baseline_ladder_activation,allowed_for_baseline_ladder_retention_w2,allowed_for_baseline_ladder_retention_w3,allowed_for_baseline_ladder_content,allowed_for_segment_design_candidate,reason,required_user_confirmation,future_step_to_resolve
2,product_code,membership_context,membership_context,static_or_subscription_metadata,membership metadata requires semantic/scoring-time review,static_or_pre_subscription,review,review,review,review,review,review,review,review,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_metadata_semantics_before_modeling
3,price,membership_context,membership_context,static_or_subscription_metadata,membership metadata requires semantic/scoring-time review,static_or_pre_subscription,review,review,review,review,review,review,review,review,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_metadata_semantics_before_modeling
4,billing_method,membership_context,membership_context,static_or_subscription_metadata,membership metadata requires semantic/scoring-time review,static_or_pre_subscription,review,review,review,review,review,review,review,review,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_metadata_semantics_before_modeling
5,max_screen,membership_context,membership_context,static_or_subscription_metadata,membership metadata requires semantic/scoring-time review,static_or_pre_subscription,review,review,review,review,review,review,review,review,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_metadata_semantics_before_modeling
7,is_churn_prevented,leakage_suspect,outcome_or_target_proxy,target_like_name,outcome-like wording,post_outcome_or_target,no,no,no,no,no,no,no,no,"outcome-like wording. Evidence: target/outcome-like wording. Conservative rule: uncertain columns remain review, not approved.",yes,must_resolve_before_modeling_or_drop
8,payment_device,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
9,is_user_verified,unknown_review_required,unknown_review,unknown,meaning not documented in this step,unknown,review,review,review,review,review,review,review,review,"meaning not documented in this step. Evidence: timing not clear from name. Conservative rule: uncertain columns remain review, not approved.",yes,06_common_preprocessing_final_cohort_policy_260513
10,gender,membership_context,membership_context,static_or_subscription_metadata,membership metadata requires semantic/scoring-time review,static_or_pre_subscription,review,review,review,review,review,review,review,review,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_metadata_semantics_before_modeling
11,age,membership_context,membership_context,static_or_subscription_metadata,membership metadata requires semantic/scoring-time review,static_or_pre_subscription,review,review,review,review,review,review,review,review,"membership metadata requires semantic/scoring-time review. Evidence: likely static/subscription context but semantic review required. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_metadata_semantics_before_modeling
12,reg_date,date_or_time_anchor,subscription_anchor,registration_date,"subscription start anchor, not a regular feature",subscription_anchor_date,no,no,no,no,no,no,no,review,"subscription start anchor, not a regular feature. Evidence: registration anchor date. Conservative rule: uncertain columns remain review, not approved.",yes,confirm_allowed_date_derivations_only
