segment,segment_name_ko,definition,business_interpretation,risk_mechanism_hypothesis,recommended_action,why_plausible,what_not_to_claim,readiness,evidence_strength
top_decile_high_churn_risk,최상위 이탈위험군,보수 w1_3 churn_risk_score 상위 10%,초기 관측창 기준 비재구독 위험이 가장 높은 고객군,초기 사용/장르/멤버십 신호가 재구독 가능성을 낮게 예측한다는 가설,고위험 모니터링 및 개인화 리텐션 메시지,"usage, genre, membership SHAP family가 모두 중요",이 조치가 재구독을 원인적으로 증가시킨다고 말하지 않음,plausible_but_cautioned,strong
low_or_no_early_engagement,초기 미시청/저관여군,초기 시청 없음 또는 하위 사분위 사용량,가입 후 초기 관여가 낮은 고객,초기 접점 부족이 낮은 재구독 점수와 연관된다는 가설,no-watch onboarding 및 초기 콘텐츠 추천,usage SHAP family가 가장 중요,시청량을 강제로 늘리면 재구독이 오른다고 단정하지 않음,safe_to_report,strong
late_heavy_week3_intensive,3주차 집중 시청군,3주차 시청시간 상위 사분위,초기보다 후반부 관여가 강한 고객,3주차 행동이 재구독 예측에 강하게 연결된다는 가설,week3 타깃 메시지와 이어보기 추천,w1_3_week3_watch_time이 최상위 SHAP feature,3주차 메시지가 반드시 이탈을 막는다고 말하지 않음,safe_to_report,strong
delayed_start,시작 지연군,첫 시청 상대일 top quartile,구독 후 시청 시작이 늦은 고객,첫 사용 지연이 낮은 재구독 가능성과 연관된다는 가설,가입 직후 탐색 도움 및 첫 시청 유도,first_watch_rel_day가 top SHAP feature,첫 시청일을 앞당기면 인과적으로 재구독이 오른다고 말하지 않음,plausible_but_cautioned,strong
genre_affinity_thriller_crime,스릴러/범죄 선호군,thriller/crime genre ratio top quartile,특정 장르 편향 시청군,장르 소비 패턴이 재구독 예측에 기여한다는 가설,스릴러/범죄 후속 콘텐츠 추천,genre SHAP family와 해당 장르 ratio feature 중요,장르 추천이 재구독을 보장한다고 말하지 않음,plausible_but_cautioned,strong
genre_affinity_animation_family,애니/가족 선호군,animation/family genre ratio top quartile,가족/애니 콘텐츠 이용 패턴이 뚜렷한 고객,가족형 콘텐츠 연속성이 유지 의도와 연관될 수 있다는 가설,가족/애니 continuation cue,animation/family genre SHAP feature 중요,가족 콘텐츠 제공이 재구독을 원인적으로 만든다고 말하지 않음,plausible_but_cautioned,strong
genre_affinity_drama,드라마 선호군,drama genre ratio top quartile,드라마 중심 소비군,드라마 장르 소비량/비율이 재구독 예측에 기여한다는 가설,드라마 이어보기 및 신작 알림,drama genre SHAP features appear in top drivers,드라마 추천 효과를 검증 없이 수익 효과로 환산하지 않음,plausible_but_cautioned,strong
genre_affinity_action_adventure,액션/어드벤처 선호군,action/adventure genre ratio top quartile,액션/어드벤처 중심 소비군,해당 장르 선호가 콘텐츠 추천 반응과 연관될 수 있다는 가설,액션/어드벤처 continuation recommendation,action/adventure genre SHAP feature is top 10,장르 소비가 이탈의 원인이라고 말하지 않음,plausible_but_cautioned,strong
early_routine_stable,초기 루틴 형성군,week1_ratio 상위 + 첫 시청 빠름,초기 이용 루틴이 빠르게 형성된 고객,초기 루틴이 재구독 가능성과 연관된다는 가설,루틴 유지형 알림과 이어보기 큐,week1_ratio가 top SHAP feature,루틴 알림의 인과효과를 주장하지 않음,safe_to_report,strong
high_price_or_promotion_sensitive,가격/프로모션 민감 가능군,가격 상위 또는 100원/프로모션 관련 조건,멤버십 조건 차이가 큰 고객군,가격/프로모션 맥락이 재구독 예측과 연관된다는 가설,요금제/downsell 안내 후보,price is top SHAP feature and membership family has signal,할인 제공의 손익 효과를 계산하지 않음,plausible_but_cautioned,strong
week2_surge_users,2주차 상승 관여군,w2_minus_w1_watch_time top quartile,2주차에 사용량이 증가한 고객군,초기 이후 관심 상승이 재구독 예측과 연관된다는 가설,관심 상승 구간 후속 콘텐츠 추천,w2_minus_w1_watch_time is top SHAP feature,상승 관여가 인과적으로 재구독을 만든다고 말하지 않음,safe_to_report,strong
general_other,일반 기타군,상위 hierarchy 어디에도 속하지 않는 잔여군,뚜렷한 단일 rule signal이 약한 고객군,단일 해석 피처보다 복합 신호가 필요하다는 가설,일반 콘텐츠 추천 및 관찰 유지,specific SHAP link weak,명확한 리텐션 타깃이라고 주장하지 않음,do_not_claim_yet,weak
