promo_scope,revised_segment_family,demographic_modifier_available,demographic_evidence_status,recommended_use,caveat,next_step_for_18
promo0,high_risk_activation_or_low_engagement,True,hotfix demographic/action files referenced,"Use age/gender only as action personalization layer, not representative segment rule.",Demographic action variants require EDA support before use.,Carry family-level segment proposal forward only after user review; keep demographic personalization as optional evidence layer.
promo0,high_risk_week3_inactivity_or_retention_decay,True,hotfix demographic/action files referenced,"Use age/gender only as action personalization layer, not representative segment rule.",Demographic action variants require EDA support before use.,Carry family-level segment proposal forward only after user review; keep demographic personalization as optional evidence layer.
promo0,mid_risk_retention_watchlist,True,hotfix demographic/action files referenced,"Use age/gender only as action personalization layer, not representative segment rule.",Demographic action variants require EDA support before use.,Carry family-level segment proposal forward only after user review; keep demographic personalization as optional evidence layer.
promo0,other_needs_review_residual,True,hotfix demographic/action files referenced,"Use age/gender only as action personalization layer, not representative segment rule.",Demographic action variants require EDA support before use.,Carry family-level segment proposal forward only after user review; keep demographic personalization as optional evidence layer.
promo0,stable_usage_lower_risk,True,hotfix demographic/action files referenced,"Use age/gender only as action personalization layer, not representative segment rule.",Demographic action variants require EDA support before use.,Carry family-level segment proposal forward only after user review; keep demographic personalization as optional evidence layer.
promo1,high_risk_activation_or_low_engagement,True,hotfix demographic/action files referenced,"Use age/gender only as action personalization layer, not representative segment rule.",Demographic action variants require EDA support before use.,Carry family-level segment proposal forward only after user review; keep demographic personalization as optional evidence layer.
promo1,high_risk_week3_inactivity_or_retention_decay,True,hotfix demographic/action files referenced,"Use age/gender only as action personalization layer, not representative segment rule.",Demographic action variants require EDA support before use.,Carry family-level segment proposal forward only after user review; keep demographic personalization as optional evidence layer.
promo1,mid_risk_retention_watchlist,True,hotfix demographic/action files referenced,"Use age/gender only as action personalization layer, not representative segment rule.",Demographic action variants require EDA support before use.,Carry family-level segment proposal forward only after user review; keep demographic personalization as optional evidence layer.
promo1,other_needs_review_residual,True,hotfix demographic/action files referenced,"Use age/gender only as action personalization layer, not representative segment rule.",Demographic action variants require EDA support before use.,Carry family-level segment proposal forward only after user review; keep demographic personalization as optional evidence layer.
promo1,stable_usage_lower_risk,True,hotfix demographic/action files referenced,"Use age/gender only as action personalization layer, not representative segment rule.",Demographic action variants require EDA support before use.,Carry family-level segment proposal forward only after user review; keep demographic personalization as optional evidence layer.
