column_name,conceptual_AARRR_stage,why_review_required,what_confirmation_is_needed,possible_use_after_resolution,risk_if_used_now
product_code,revenue_proxy,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,confirm_metadata_semantics_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
price,revenue_proxy,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,confirm_metadata_semantics_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
billing_method,revenue_proxy,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,confirm_metadata_semantics_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
max_screen,revenue_proxy,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,confirm_metadata_semantics_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
is_churn_prevented,unknown_review,Could be past information or current-cycle intervention/outcome proxy; keep review until source timing is proven.,resolve_intervention_timing_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
payment_device,unknown_review,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,confirm_metadata_semantics_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
is_user_verified,acquisition,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,confirm_metadata_semantics_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
gender,acquisition,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,confirm_metadata_semantics_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
age,acquisition,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,confirm_metadata_semantics_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
reg_date,metadata_id_split_target,"Registration date is an anchor, not a regular model feature.",confirm_allowed_date_derivations_only,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
reg_hour,activation,Registration-time derived context; review whether it is appropriate as a feature rather than anchor leakage.,confirm_registration_context_semantics_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
end_date,unknown_review,End date is unresolved: scheduled-at-scoring vs post-hoc actual end must be confirmed before modeling.,06_common_preprocessing_and_final_cohort_260513,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
is_standard,revenue_proxy,Membership/payment/demographic context needs semantic and scoring-time review before modeling.,confirm_metadata_semantics_before_modeling,May be used in review-resolved baseline or sensitivity experiment only after explicit approval.,"Could introduce timing leakage, semantic ambiguity, or unsupported business interpretation."
