check_item,promo_scope,representative_segment_id,row_count,content_preference_signal_count,content_preference_signal_rate,threshold_for_broad_flag,is_broad_flag,current_usage,corrected_usage,reason,notes
overall_prevalence,all,all,23097,22416,0.9705156513832965,0.7,True,rule_usage=True; action_matrix_mentions=True; action_mentions=True; memo_mentions=True,profile/action personalization cue only,overall prevalence >= 70%,checked directly from 17_internal_multiflag_assignment.csv
scope_prevalence,promo0,all,11193,10888,0.972750826409363,0.7,True,scope diagnostic,profile/action personalization cue only,scope prevalence diagnostic,
scope_prevalence,promo1,all,11904,11528,0.9684139784946236,0.7,True,scope diagnostic,profile/action personalization cue only,scope prevalence diagnostic,
segment_prevalence,promo0,promo0_s01,1736,1727,0.994815668202765,0.7,True,segment diagnostic,do not use as discriminating segment rule,segment prevalence diagnostic,segment-level prevalence can be high because overall flag is broad
segment_prevalence,promo0,promo0_s02,154,150,0.974025974025974,0.7,True,segment diagnostic,do not use as discriminating segment rule,segment prevalence diagnostic,segment-level prevalence can be high because overall flag is broad
segment_prevalence,promo0,promo0_s03,230,230,1.0,0.7,True,segment diagnostic,do not use as discriminating segment rule,segment prevalence diagnostic,segment-level prevalence can be high because overall flag is broad
segment_prevalence,promo0,promo0_s04,43,43,1.0,0.7,True,segment diagnostic,do not use as discriminating segment rule,segment prevalence diagnostic,segment-level prevalence can be high because overall flag is broad
segment_prevalence,promo0,promo0_s05,2031,1884,0.9276218611521418,0.7,True,segment diagnostic,do not use as discriminating segment rule,segment prevalence diagnostic,segment-level prevalence can be high because overall flag is broad
segment_prevalence,promo0,promo0_s99,6999,6854,0.9792827546792399,0.7,True,segment diagnostic,do not use as discriminating segment rule,segment prevalence diagnostic,segment-level prevalence can be high because overall flag is broad
segment_prevalence,promo1,promo1_s01,1700,1696,0.9976470588235294,0.7,True,segment diagnostic,do not use as discriminating segment rule,segment prevalence diagnostic,segment-level prevalence can be high because overall flag is broad
segment_prevalence,promo1,promo1_s02,193,187,0.9689119170984456,0.7,True,segment diagnostic,do not use as discriminating segment rule,segment prevalence diagnostic,segment-level prevalence can be high because overall flag is broad
segment_prevalence,promo1,promo1_s03,329,329,1.0,0.7,True,segment diagnostic,do not use as discriminating segment rule,segment prevalence diagnostic,segment-level prevalence can be high because overall flag is broad
segment_prevalence,promo1,promo1_s04,41,41,1.0,0.7,True,segment diagnostic,do not use as discriminating segment rule,segment prevalence diagnostic,segment-level prevalence can be high because overall flag is broad
segment_prevalence,promo1,promo1_s05,117,116,0.9914529914529915,0.7,True,segment diagnostic,do not use as discriminating segment rule,segment prevalence diagnostic,segment-level prevalence can be high because overall flag is broad
segment_prevalence,promo1,promo1_s06,2086,1898,0.909875359539789,0.7,True,segment diagnostic,do not use as discriminating segment rule,segment prevalence diagnostic,segment-level prevalence can be high because overall flag is broad
segment_prevalence,promo1,promo1_s99,7438,7261,0.9762032804517343,0.7,True,segment diagnostic,do not use as discriminating segment rule,segment prevalence diagnostic,segment-level prevalence can be high because overall flag is broad
