feature_set_name,comparison_scope,AARRR_stage,feature_family,feature_count,compared_feature_count,avg_abs_difference_or_smd,max_abs_difference_or_smd,top_diff_features,caveat_count,needs_user_review_count,summary_note
conservative_safe_22,within_promotion_repurchase,Activation,early_week1_watch_behavior,4,4,0.11907578893742188,0.23240862446406474,"is_w1_over_50pct, is_only_w1, watch_time_min_w1, watch_session_w1",0,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
conservative_safe_22,within_promotion_repurchase,Activation,onboarding_cold_start_fixed,2,2,0.04192180212290078,0.04779436996829928,"is_cold_start_3d_fixed, is_cold_start_7d_fixed",2,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
conservative_safe_22,within_promotion_repurchase,Retention,usage_retention_behavior,16,16,0.2928985249635574,0.6913420634313308,"watch_time_min_w3, watch_session_w3, avg_gap_w3_watch_days, diff_between_w3_w1, watch_time_min_w2",0,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
conservative_safe_22,within_nonpromotion_repurchase,Activation,early_week1_watch_behavior,4,4,0.15752016460637303,0.29991910028911706,"is_w1_over_50pct, is_only_w1, watch_time_min_w1, watch_session_w1",0,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
conservative_safe_22,within_nonpromotion_repurchase,Activation,onboarding_cold_start_fixed,2,2,0.03914816583114508,0.07210153576828204,"is_cold_start_7d_fixed, is_cold_start_3d_fixed",2,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
conservative_safe_22,within_nonpromotion_repurchase,Retention,usage_retention_behavior,16,16,0.3306090416653249,0.7500986291124193,"watch_session_w3, watch_time_min_w3, avg_gap_w3_watch_days, watch_time_min_w2, diff_between_w3_w1",0,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
conservative_safe_22,between_promotion_status_within_repurchase_1,Activation,early_week1_watch_behavior,4,4,0.0051806084200917545,0.006463547991945699,"is_only_w1, is_w1_over_50pct, watch_session_w1, watch_time_min_w1",0,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
conservative_safe_22,between_promotion_status_within_repurchase_1,Activation,onboarding_cold_start_fixed,2,2,0.005486289642796405,0.010146996198918012,"is_cold_start_3d_fixed, is_cold_start_7d_fixed",2,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
conservative_safe_22,between_promotion_status_within_repurchase_1,Retention,usage_retention_behavior,16,16,0.019984168701499563,0.05519503174629276,"avg_gap_w3_watch_days, watch_session_w3, watch_time_min_w3, avg_gap_w2_watch_days, diff_between_w3_w1",0,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
conservative_safe_22,between_promotion_status_within_repurchase_0,Activation,early_week1_watch_behavior,4,4,0.04228994731966857,0.07287098277617798,"is_w1_over_50pct, is_only_w1, watch_time_min_w1, watch_session_w1",0,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
conservative_safe_22,between_promotion_status_within_repurchase_0,Activation,onboarding_cold_start_fixed,2,2,0.03416523122641385,0.036877884577454556,"is_cold_start_7d_fixed, is_cold_start_3d_fixed",2,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
conservative_safe_22,between_promotion_status_within_repurchase_0,Retention,usage_retention_behavior,16,16,0.08006197896711181,0.200481245961841,"watch_time_min_w3, watch_session_w3, retention_w3_ratio, avg_gap_w3_watch_days, watch_time_min_w2",0,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
expanded_feature_set,within_promotion_repurchase,Acquisition_context,membership_context,12,12,0.01586593026131822,0.06382563653189333,"is_basic, is_premium, is_standard, payment_is_pc, payment_is_android",0,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
expanded_feature_set,within_promotion_repurchase,Activation,early_week1_watch_behavior,4,4,0.11907578893742188,0.23240862446406474,"is_w1_over_50pct, is_only_w1, watch_time_min_w1, watch_session_w1",0,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
expanded_feature_set,within_promotion_repurchase,Activation,onboarding_cold_start_fixed,2,2,0.04192180212290078,0.04779436996829928,"is_cold_start_3d_fixed, is_cold_start_7d_fixed",2,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
expanded_feature_set,within_promotion_repurchase,Needs_user_review,profile_context_needs_review,4,4,0.014515563969409607,0.028685227040973052,"age_group, is_male, is_female, is_user_verified",0,4,Family summary supports descriptive review only. It is not a feature removal or importance decision.
expanded_feature_set,within_promotion_repurchase,Retention,usage_retention_behavior,39,39,0.3328696719727756,0.6913420634313308,"watch_time_min_w3, watch_session_w3, recency, max_watch_time_min, total_watch_time_min",2,0,Family summary supports descriptive review only. It is not a feature removal or importance decision.
