rank,xai_type,feature,feature_family,mean_abs_shap,status,caution,source_file
1,TRUE_SHAP_global_feature,w1_3_week3_watch_time,usage,0.6197008105835925,safe_to_claim,"SHAP explains model output toward repurchase_score, not causality.",park.ingyeom/reports/data/07r_v2_true_shap_interpretation/07r_true_shap_summary.json
2,TRUE_SHAP_global_feature,w1_3_w2_minus_w1_watch_time,usage,0.26476309975935214,safe_to_claim,"SHAP explains model output toward repurchase_score, not causality.",park.ingyeom/reports/data/07r_v2_true_shap_interpretation/07r_true_shap_summary.json
3,TRUE_SHAP_global_feature,w1_3_week1_ratio,usage,0.22719425575785251,safe_to_claim,"SHAP explains model output toward repurchase_score, not causality.",park.ingyeom/reports/data/07r_v2_true_shap_interpretation/07r_true_shap_summary.json
4,TRUE_SHAP_global_feature,price,membership,0.19177054787244655,safe_to_claim,"SHAP explains model output toward repurchase_score, not causality.",park.ingyeom/reports/data/07r_v2_true_shap_interpretation/07r_true_shap_summary.json
5,TRUE_SHAP_global_feature,w1_3_first_watch_rel_day,usage,0.17388802039053242,safe_to_claim,"SHAP explains model output toward repurchase_score, not causality.",park.ingyeom/reports/data/07r_v2_true_shap_interpretation/07r_true_shap_summary.json
6,TRUE_SHAP_global_feature,w1_3_genre_ratio_thriller_crime,genre,0.16492664676675522,claim_with_caution,"SHAP explains model output toward repurchase_score, not causality.",park.ingyeom/reports/data/07r_v2_true_shap_interpretation/07r_true_shap_summary.json
7,TRUE_SHAP_global_feature,w1_3_genre_ratio_animation_family,genre,0.1270533185837299,claim_with_caution,"SHAP explains model output toward repurchase_score, not causality.",park.ingyeom/reports/data/07r_v2_true_shap_interpretation/07r_true_shap_summary.json
8,TRUE_SHAP_global_feature,w1_3_genre_ratio_drama,genre,0.11367894726759088,claim_with_caution,"SHAP explains model output toward repurchase_score, not causality.",park.ingyeom/reports/data/07r_v2_true_shap_interpretation/07r_true_shap_summary.json
9,TRUE_SHAP_global_feature,w1_3_genre_session_count_drama,genre,0.1099604910201125,claim_with_caution,"SHAP explains model output toward repurchase_score, not causality.",park.ingyeom/reports/data/07r_v2_true_shap_interpretation/07r_true_shap_summary.json
10,TRUE_SHAP_global_feature,w1_3_genre_ratio_action_adventure,genre,0.10949055717121109,claim_with_caution,"SHAP explains model output toward repurchase_score, not causality.",park.ingyeom/reports/data/07r_v2_true_shap_interpretation/07r_true_shap_summary.json
1,TRUE_SHAP_feature_family,usage,usage,2.154410395235807,safe_to_claim,Content metadata is limited to genre and ott_release_month proxies.,park.ingyeom/reports/data/07r_v2_true_shap_interpretation/07r_true_shap_summary.json
2,TRUE_SHAP_feature_family,genre,genre,1.3469949306328584,safe_to_claim,Content metadata is limited to genre and ott_release_month proxies.,park.ingyeom/reports/data/07r_v2_true_shap_interpretation/07r_true_shap_summary.json
3,TRUE_SHAP_feature_family,membership,membership,0.34020614087691914,safe_to_claim,Content metadata is limited to genre and ott_release_month proxies.,park.ingyeom/reports/data/07r_v2_true_shap_interpretation/07r_true_shap_summary.json
4,TRUE_SHAP_feature_family,release_month,release_month,0.040567790355534775,claim_with_caution,Content metadata is limited to genre and ott_release_month proxies.,park.ingyeom/reports/data/07r_v2_true_shap_interpretation/07r_true_shap_summary.json
5,TRUE_SHAP_feature_family,content,content,0.0043108254555931005,claim_with_caution,Content metadata is limited to genre and ott_release_month proxies.,park.ingyeom/reports/data/07r_v2_true_shap_interpretation/07r_true_shap_summary.json
