column_name,patched_primary_role from 05b,patched_feature_family from 05b,patched_timing_family from 05b,05b overall allowed status,05b groupwise allowed status,06 status_for_06_primary_main_cohort_table if available,in_06_conservative_feature_table,AARRR_stage_primary,AARRR_stage_secondary,measurement_status,standard_analysis_status,reason,caveat,recommended_downstream_use
USER_KEY,id,identifier,id_target_split,no,no,identifier,no,metadata_id_split_target,,directly_observed,metadata_only,"Identifier metadata only, not AARRR behavior.",Use only as group key or lineage metadata.,exclude
product_code,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,revenue_proxy,acquisition,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
price,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,revenue_proxy,acquisition,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
billing_method,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,revenue_proxy,acquisition,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
max_screen,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,revenue_proxy,acquisition,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
is_promotion,split,split_variable,id_target_split,yes,no,split,no,acquisition,,directly_observed,split_only,Promotion/non-promotion split metadata.,Descriptive only; not causal effect.,split_only
is_churn_prevented,leakage_suspect,outcome_or_intervention_proxy,post_outcome_or_target_review,review,review,review_excluded_from_standard_modeling,no,unknown_review,,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
payment_device,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,unknown_review,,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
is_user_verified,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,acquisition,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
gender,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,acquisition,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
age,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,acquisition,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
reg_date,date_or_time_anchor,subscription_anchor,subscription_anchor_date,no,no,date_anchor_excluded,no,metadata_id_split_target,,forbidden,forbidden_or_drop,05b marks this as forbidden/drop or non-feature control.,Exclude from standard modeling.,exclude
reg_hour,acquisition,registration_context,subscription_anchor_derived_review,review,review,review_excluded_from_standard_modeling,no,activation,,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
end_date,timing_review_required,subscription_end_timing_review,subscription_end_timing_review,review,review,date_anchor_excluded,no,unknown_review,,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
is_repurchase,target,target,id_target_split,no,no,target,no,revenue_proxy,,target_proxy,target_only,"Target proxy for next-month repurchase, not actual revenue amount.",Never use as feature.,target_only
is_standard,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,revenue_proxy,acquisition,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
is_premium,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,revenue_proxy,acquisition,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
age_group,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,acquisition,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
is_female,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,acquisition,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
is_male,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,acquisition,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
reg_is_weekend,acquisition,registration_context,subscription_anchor_derived_review,review,review,review_excluded_from_standard_modeling,no,activation,,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
reg_hour_morning,acquisition,registration_context,subscription_anchor_derived_review,review,review,review_excluded_from_standard_modeling,no,activation,,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
reg_hour_afternoon,acquisition,registration_context,subscription_anchor_derived_review,review,review,review_excluded_from_standard_modeling,no,activation,,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
reg_hour_evening,acquisition,registration_context,subscription_anchor_derived_review,review,review,review_excluded_from_standard_modeling,no,activation,,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
reg_hour_night,acquisition,registration_context,subscription_anchor_derived_review,review,review,review_excluded_from_standard_modeling,no,activation,,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
payment_is_mobile,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,activation,,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
payment_is_pc,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,activation,,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
payment_is_android,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,activation,,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
payment_is_ios,membership_context,membership_context,static_or_pre_subscription_review,review,review,review_excluded_from_standard_modeling,no,activation,,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
total_watch_count,aggregate_usage_review,usage_aggregate,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
unique_movie,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
watch_days,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
active_ratio,retention,usage_behavior_ratio,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
total_watch_time(min),aggregate_usage_review,usage_aggregate,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
watch_per_day,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
avg_watch_time(min),aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
median_watch_time(min),aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
std_watch_time(min),aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
avg_daily_watch_time(min),aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
max_watch_time(min),aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
max_daily_watch_time(min),aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
max_daily_sessions,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,unknown_review,,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
recency,timing_review_required,content_recency,reference_date_review,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
avg_gap_between_watch_days,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
avg_gap_w1_watch_days,activation,usage_observation,week1_observation,yes,yes,include_safe_feature,yes,retention,,proxy_observed,standard_conservative_usable,05b conservative safe candidate and present in 06 conservative table.,Proxy behavior feature within day0 to day20 window.,standard_baseline_candidate
avg_gap_w2_watch_days,retention,usage_observation,week2_observation,yes,yes,include_safe_feature,yes,retention,,proxy_observed,standard_conservative_usable,05b conservative safe candidate and present in 06 conservative table.,Proxy behavior feature within day0 to day20 window.,standard_baseline_candidate
avg_gap_w3_watch_days,retention,usage_observation,week3_observation,yes,yes,include_safe_feature,yes,retention,,proxy_observed,standard_conservative_usable,05b conservative safe candidate and present in 06 conservative table.,Proxy behavior feature within day0 to day20 window.,standard_baseline_candidate
max_inactive_gap_days,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
avg_rewatch_ratio,aggregate_usage_review,engagement_depth,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
weekend_watch_ratio,aggregate_usage_review,viewing_pattern,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
watch_ratio_under_1m,aggregate_usage_review,short_watch_behavior,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
watch_ratio_under_5m,aggregate_usage_review,short_watch_behavior,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
is_cold_start_3d,activation,activation_onboarding,early_activation,yes,yes,include_safe_feature,yes,activation,,proxy_observed,standard_conservative_usable,05b conservative safe candidate and present in 06 conservative table.,Proxy behavior feature within day0 to day20 window.,standard_baseline_candidate
is_cold_start_7d,activation,activation_onboarding,week1_observation,yes,yes,include_safe_feature,yes,activation,,proxy_observed,standard_conservative_usable,05b conservative safe candidate and present in 06 conservative table.,Proxy behavior feature within day0 to day20 window.,standard_baseline_candidate
movie_per_active_day,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,retention,activation,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
max_day_share,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,unknown_review,,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
day_count_over_3times,aggregate_usage_review,usage_behavior_summary,all_period_ambiguous,review,review,review_excluded_from_standard_modeling,no,unknown_review,,review_required,review_only,Conceptually mappable but 05b requires timing or semantic confirmation.,Do not approve for standard modeling here.,review_before_modeling
