dataset_scope,ladder_step,ladder_order,feature_names,feature_count,added_features,AARRR_stage,reason,allowed_status,warning_if_empty,review_columns_excluded_count,forbidden_columns_excluded_count
overall_without_promotion,L0_dummy_prior,0,,0,,,dummy prior floor baseline,allowed,,0,3
overall_without_promotion,L1_activation_safe,1,is_cold_start_3d;is_cold_start_7d;watch_time(min)_w1;watch_session_w1;is_only_w1;is_w1_over_50pct,6,is_cold_start_3d;is_cold_start_7d;watch_time(min)_w1;watch_session_w1;is_only_w1;is_w1_over_50pct,activation,conservative safe-window behavioral ladder,allowed,,0,3
overall_without_promotion,L2_add_week2_retention,2,is_cold_start_3d;is_cold_start_7d;watch_time(min)_w1;watch_session_w1;is_only_w1;is_w1_over_50pct;avg_gap_w2_watch_days;watch_time(min)_w2;watch_session_w2;retention_w2_ratio;diff_between_w2_w1;is_w2_over_50pct;is_only_w2,13,avg_gap_w2_watch_days;watch_time(min)_w2;watch_session_w2;retention_w2_ratio;diff_between_w2_w1;is_w2_over_50pct;is_only_w2,activation;retention,conservative safe-window behavioral ladder,allowed,,0,3
overall_without_promotion,L3_add_week3_retention,3,is_cold_start_3d;is_cold_start_7d;watch_time(min)_w1;watch_session_w1;is_only_w1;is_w1_over_50pct;avg_gap_w2_watch_days;watch_time(min)_w2;watch_session_w2;retention_w2_ratio;diff_between_w2_w1;is_w2_over_50pct;is_only_w2;avg_gap_w3_watch_days;watch_time(min)_w3;watch_session_w3;retention_w3_ratio;diff_between_w3_w1;diff_between_w3_w2;is_w3_over_50pct;is_only_w3,21,avg_gap_w3_watch_days;watch_time(min)_w3;watch_session_w3;retention_w3_ratio;diff_between_w3_w1;diff_between_w3_w2;is_w3_over_50pct;is_only_w3,activation;retention,conservative safe-window behavioral ladder,allowed,,0,3
overall_without_promotion,L4_all_conservative_behavior,4,avg_gap_w1_watch_days;avg_gap_w2_watch_days;avg_gap_w3_watch_days;is_cold_start_3d;is_cold_start_7d;watch_time(min)_w1;watch_time(min)_w2;watch_time(min)_w3;watch_session_w1;watch_session_w2;watch_session_w3;retention_w2_ratio;retention_w3_ratio;diff_between_w2_w1;diff_between_w3_w1;diff_between_w3_w2;is_w1_over_50pct;is_w2_over_50pct;is_w3_over_50pct;is_only_w1;is_only_w2;is_only_w3,22,avg_gap_w1_watch_days;avg_gap_w2_watch_days;avg_gap_w3_watch_days;is_cold_start_3d;is_cold_start_7d;watch_time(min)_w1;watch_time(min)_w2;watch_time(min)_w3;watch_session_w1;watch_session_w2;watch_session_w3;retention_w2_ratio;retention_w3_ratio;diff_between_w2_w1;diff_between_w3_w1;diff_between_w3_w2;is_w1_over_50pct;is_w2_over_50pct;is_w3_over_50pct;is_only_w1;is_only_w2;is_only_w3,activation;retention,conservative safe-window behavioral ladder,allowed,,0,3
overall_with_promotion,L0_dummy_prior,0,,0,,,dummy prior floor baseline,allowed,,0,3
overall_with_promotion,L1_activation_safe,1,is_cold_start_3d;is_cold_start_7d;watch_time(min)_w1;watch_session_w1;is_only_w1;is_w1_over_50pct,6,is_cold_start_3d;is_cold_start_7d;watch_time(min)_w1;watch_session_w1;is_only_w1;is_w1_over_50pct,activation,conservative safe-window behavioral ladder,allowed,,0,3
overall_with_promotion,L2_add_week2_retention,2,is_cold_start_3d;is_cold_start_7d;watch_time(min)_w1;watch_session_w1;is_only_w1;is_w1_over_50pct;avg_gap_w2_watch_days;watch_time(min)_w2;watch_session_w2;retention_w2_ratio;diff_between_w2_w1;is_w2_over_50pct;is_only_w2,13,avg_gap_w2_watch_days;watch_time(min)_w2;watch_session_w2;retention_w2_ratio;diff_between_w2_w1;is_w2_over_50pct;is_only_w2,activation;retention,conservative safe-window behavioral ladder,allowed,,0,3
overall_with_promotion,L3_add_week3_retention,3,is_cold_start_3d;is_cold_start_7d;watch_time(min)_w1;watch_session_w1;is_only_w1;is_w1_over_50pct;avg_gap_w2_watch_days;watch_time(min)_w2;watch_session_w2;retention_w2_ratio;diff_between_w2_w1;is_w2_over_50pct;is_only_w2;avg_gap_w3_watch_days;watch_time(min)_w3;watch_session_w3;retention_w3_ratio;diff_between_w3_w1;diff_between_w3_w2;is_w3_over_50pct;is_only_w3,21,avg_gap_w3_watch_days;watch_time(min)_w3;watch_session_w3;retention_w3_ratio;diff_between_w3_w1;diff_between_w3_w2;is_w3_over_50pct;is_only_w3,activation;retention,conservative safe-window behavioral ladder,allowed,,0,3
overall_with_promotion,L4_all_conservative_behavior,4,avg_gap_w1_watch_days;avg_gap_w2_watch_days;avg_gap_w3_watch_days;is_cold_start_3d;is_cold_start_7d;watch_time(min)_w1;watch_time(min)_w2;watch_time(min)_w3;watch_session_w1;watch_session_w2;watch_session_w3;retention_w2_ratio;retention_w3_ratio;diff_between_w2_w1;diff_between_w3_w1;diff_between_w3_w2;is_w1_over_50pct;is_w2_over_50pct;is_w3_over_50pct;is_only_w1;is_only_w2;is_only_w3,22,avg_gap_w1_watch_days;avg_gap_w2_watch_days;avg_gap_w3_watch_days;is_cold_start_3d;is_cold_start_7d;watch_time(min)_w1;watch_time(min)_w2;watch_time(min)_w3;watch_session_w1;watch_session_w2;watch_session_w3;retention_w2_ratio;retention_w3_ratio;diff_between_w2_w1;diff_between_w3_w1;diff_between_w3_w2;is_w1_over_50pct;is_w2_over_50pct;is_w3_over_50pct;is_only_w1;is_only_w2;is_only_w3,activation;retention,conservative safe-window behavioral ladder,allowed,,0,3
overall_with_promotion,L5_all_conservative_plus_promotion_indicator,5,avg_gap_w1_watch_days;avg_gap_w2_watch_days;avg_gap_w3_watch_days;is_cold_start_3d;is_cold_start_7d;watch_time(min)_w1;watch_time(min)_w2;watch_time(min)_w3;watch_session_w1;watch_session_w2;watch_session_w3;retention_w2_ratio;retention_w3_ratio;diff_between_w2_w1;diff_between_w3_w1;diff_between_w3_w2;is_w1_over_50pct;is_w2_over_50pct;is_w3_over_50pct;is_only_w1;is_only_w2;is_only_w3;is_promotion,23,avg_gap_w1_watch_days;avg_gap_w2_watch_days;avg_gap_w3_watch_days;is_cold_start_3d;is_cold_start_7d;watch_time(min)_w1;watch_time(min)_w2;watch_time(min)_w3;watch_session_w1;watch_session_w2;watch_session_w3;retention_w2_ratio;retention_w3_ratio;diff_between_w2_w1;diff_between_w3_w1;diff_between_w3_w2;is_w1_over_50pct;is_w2_over_50pct;is_w3_over_50pct;is_only_w1;is_only_w2;is_only_w3;is_promotion,activation;retention,conservative safe-window behavioral ladder,allowed,,0,2
promotion_only,L0_dummy_prior,0,,0,,,dummy prior floor baseline,allowed,,0,3
promotion_only,L1_activation_safe,1,is_cold_start_3d;is_cold_start_7d;watch_time(min)_w1;watch_session_w1;is_only_w1;is_w1_over_50pct,6,is_cold_start_3d;is_cold_start_7d;watch_time(min)_w1;watch_session_w1;is_only_w1;is_w1_over_50pct,activation,conservative safe-window behavioral ladder,allowed,,0,3
promotion_only,L2_add_week2_retention,2,is_cold_start_3d;is_cold_start_7d;watch_time(min)_w1;watch_session_w1;is_only_w1;is_w1_over_50pct;avg_gap_w2_watch_days;watch_time(min)_w2;watch_session_w2;retention_w2_ratio;diff_between_w2_w1;is_w2_over_50pct;is_only_w2,13,avg_gap_w2_watch_days;watch_time(min)_w2;watch_session_w2;retention_w2_ratio;diff_between_w2_w1;is_w2_over_50pct;is_only_w2,activation;retention,conservative safe-window behavioral ladder,allowed,,0,3
promotion_only,L3_add_week3_retention,3,is_cold_start_3d;is_cold_start_7d;watch_time(min)_w1;watch_session_w1;is_only_w1;is_w1_over_50pct;avg_gap_w2_watch_days;watch_time(min)_w2;watch_session_w2;retention_w2_ratio;diff_between_w2_w1;is_w2_over_50pct;is_only_w2;avg_gap_w3_watch_days;watch_time(min)_w3;watch_session_w3;retention_w3_ratio;diff_between_w3_w1;diff_between_w3_w2;is_w3_over_50pct;is_only_w3,21,avg_gap_w3_watch_days;watch_time(min)_w3;watch_session_w3;retention_w3_ratio;diff_between_w3_w1;diff_between_w3_w2;is_w3_over_50pct;is_only_w3,activation;retention,conservative safe-window behavioral ladder,allowed,,0,3
