promo_scope,representative_segment_id,provisional_label,original_assignment_status,row_count,minimum_required_n_for_business_representative,n_100_floor_for_presentation,n_30_floor_for_segment_language,size_policy_status,after_business_presentation_status,recommended_absorption_or_demotion,documented_exception,rare_segments_not_used_as_business_target,notes
promo0,promo0_s01,promo0_high_risk_week3_inactive,representative_segment_assignment_hotfix_preserved,1736,300,100,30,representative_candidate_allowed,retain_as_business_representative_candidate,not_applicable,,False,Original assignment is not deleted; this file governs presentation/action usage only.
promo0,promo0_s02,promo0_high_risk_retention_decay,representative_segment_assignment_hotfix_preserved,154,300,100,30,rare_pattern_or_subsignal,demote_to_profile_note_or_action_personalization_cue,review_absorption_into_parent_behavior_segment_or_other_needs_review,documented_small_n_exception_only_for_diagnostic_review,True,Original assignment is not deleted; this file governs presentation/action usage only.
promo0,promo0_s03,promo0_high_risk_only_w1_or_cold_start_weak,representative_segment_assignment_hotfix_preserved,230,300,100,30,rare_pattern_or_subsignal,demote_to_profile_note_or_action_personalization_cue,review_absorption_into_parent_behavior_segment_or_other_needs_review,documented_small_n_exception_only_for_diagnostic_review,True,Original assignment is not deleted; this file governs presentation/action usage only.
promo0,promo0_s04,promo0_high_risk_low_activity,representative_segment_assignment_hotfix_preserved,43,300,100,30,rare_pattern_not_business_target,demote_to_rare_pattern_profile_note,absorb_into_other_needs_review_or_parent_behavior_flag,not_allowed_as_presentation_representative_segment,True,Original assignment is not deleted; this file governs presentation/action usage only.
promo0,promo0_s05,promo0_high_risk_genre_preference_clear,representative_segment_assignment_hotfix_preserved,5,300,100,30,case_note_only,case_note_only_do_not_use_as_segment,absorb_into_other_needs_review_or_remove_from_business_segment_list,n_below_30_case_note_only,True,Original assignment is not deleted; this file governs presentation/action usage only.
promo0,promo0_s06,promo0_stable_usage_lower_risk,representative_segment_assignment_hotfix_preserved,2031,300,100,30,representative_candidate_allowed,retain_as_business_representative_candidate,not_applicable,,False,Original assignment is not deleted; this file governs presentation/action usage only.
promo0,promo0_s99,promo0_other_needs_review,representative_segment_assignment_hotfix_preserved,6994,300,100,30,representative_candidate_allowed,retain_as_business_representative_candidate,not_applicable,,False,Original assignment is not deleted; this file governs presentation/action usage only.
promo1,promo1_s01,promo1_high_risk_week3_inactive,representative_segment_assignment_hotfix_preserved,1700,300,100,30,representative_candidate_allowed,retain_as_business_representative_candidate,not_applicable,,False,Original assignment is not deleted; this file governs presentation/action usage only.
promo1,promo1_s02,promo1_high_risk_retention_decay,representative_segment_assignment_hotfix_preserved,193,300,100,30,rare_pattern_or_subsignal,demote_to_profile_note_or_action_personalization_cue,review_absorption_into_parent_behavior_segment_or_other_needs_review,documented_small_n_exception_only_for_diagnostic_review,True,Original assignment is not deleted; this file governs presentation/action usage only.
promo1,promo1_s03,promo1_high_risk_only_w1_or_cold_start_weak,representative_segment_assignment_hotfix_preserved,329,300,100,30,representative_candidate_allowed,retain_as_business_representative_candidate,not_applicable,,False,Original assignment is not deleted; this file governs presentation/action usage only.
promo1,promo1_s04,promo1_high_risk_low_activity,representative_segment_assignment_hotfix_preserved,41,300,100,30,rare_pattern_not_business_target,demote_to_rare_pattern_profile_note,absorb_into_other_needs_review_or_parent_behavior_flag,not_allowed_as_presentation_representative_segment,True,Original assignment is not deleted; this file governs presentation/action usage only.
promo1,promo1_s05,promo1_high_risk_genre_preference_clear,representative_segment_assignment_hotfix_preserved,11,300,100,30,case_note_only,case_note_only_do_not_use_as_segment,absorb_into_other_needs_review_or_remove_from_business_segment_list,n_below_30_case_note_only,True,Original assignment is not deleted; this file governs presentation/action usage only.
promo1,promo1_s06,promo1_stable_usage_lower_risk,representative_segment_assignment_hotfix_preserved,2086,300,100,30,representative_candidate_allowed,retain_as_business_representative_candidate,not_applicable,,False,Original assignment is not deleted; this file governs presentation/action usage only.
promo1,promo1_s99,promo1_other_needs_review,representative_segment_assignment_hotfix_preserved,7544,300,100,30,representative_candidate_allowed,retain_as_business_representative_candidate,not_applicable,,False,Original assignment is not deleted; this file governs presentation/action usage only.
