feature_name,old_feature_family,new_feature_family,change_type,business_interpretation_impact,reason,notes
active_ratio,technical_or_unknown,usage_concentration,technical_unknown_to_usage_concentration,17 segmentation에서 사용 집중/분산 신호로 검토할 수 있다.,사용 활동 분산과 반복 활동 패턴을 나타낸다.,Use this hotfix mapping for 17 segmentation handoff; do not treat old bucket as segment.
day_count_over_3times,technical_or_unknown,usage_concentration,technical_unknown_to_usage_concentration,17 segmentation에서 사용 빈도와 집중도를 함께 검토할 수 있다.,반복 사용이 발생한 날짜 수를 나타낸다.,Use this hotfix mapping for 17 segmentation handoff; do not treat old bucket as segment.
historical_war_ratio,technical_or_unknown,genre_preference,technical_unknown_to_genre_preference,17 segmentation에서는 profile/action 소재로 사용하고 장르가 churn을 유발한다고 쓰지 않는다.,장르/콘텐츠 선호 ratio 계열이다.,Use this hotfix mapping for 17 segmentation handoff; do not treat old bucket as segment.
is_only_w1,technical_or_unknown,week_specific_usage_pattern,technical_unknown_to_week_specific_usage_pattern,17 segmentation에서 초반만 보고 사라진 고객 패턴 후보로 검토할 수 있다.,1주차에만 시청한 고객 패턴을 나타낸다.,Use this hotfix mapping for 17 segmentation handoff; do not treat old bucket as segment.
is_only_w2,technical_or_unknown,week_specific_usage_pattern,technical_unknown_to_week_specific_usage_pattern,17 segmentation에서 특정 주차 집중 사용 패턴으로 검토할 수 있다.,2주차에만 시청한 고객 패턴을 나타낸다.,Use this hotfix mapping for 17 segmentation handoff; do not treat old bucket as segment.
is_only_w3,technical_or_unknown,week_specific_usage_pattern,technical_unknown_to_week_specific_usage_pattern,17 segmentation에서 특정 주차 집중 사용 패턴으로 검토할 수 있다.,3주차에만 시청한 고객 패턴을 나타낸다.,Use this hotfix mapping for 17 segmentation handoff; do not treat old bucket as segment.
max_day_share,technical_or_unknown,usage_concentration,technical_unknown_to_usage_concentration,17 segmentation에서 사용 집중/분산 신호로 검토할 수 있다.,특정 일자에 활동이 몰렸는지 나타낸다.,Use this hotfix mapping for 17 segmentation handoff; do not treat old bucket as segment.
max_inactive_gap_days,technical_or_unknown,inactivity_recency,technical_unknown_to_inactivity_recency,17 segmentation에서 장기 비활성 공백 신호로 사용할 수 있다.,비활성 공백 길이를 나타낸다.,Use this hotfix mapping for 17 segmentation handoff; do not treat old bucket as segment.
other_ratio,technical_or_unknown,genre_preference,technical_unknown_to_genre_preference,17 segmentation에서는 해석 caveat와 함께 profile/action 소재로 사용한다.,명확한 단일 장르는 아니지만 기타 장르 선호 비중을 나타낸다.,Use this hotfix mapping for 17 segmentation handoff; do not treat old bucket as segment.
recency,technical_or_unknown,inactivity_recency,technical_unknown_to_inactivity_recency,17 segmentation에서 최근 비활성 위험 family로 사용할 수 있다.,최근 활동 여부와 마지막 활동 거리 신호다.,Use this hotfix mapping for 17 segmentation handoff; do not treat old bucket as segment.
reg_hour_afternoon,technical_or_unknown,registration_timing_context,technical_unknown_to_registration_timing_context,17 segmentation에서 직접 행동 원인으로 쓰지 않고 profile/context layer로 분리한다.,가입 시점과 가입 시간대 맥락 변수다.,Use this hotfix mapping for 17 segmentation handoff; do not treat old bucket as segment.
reg_hour_evening,technical_or_unknown,registration_timing_context,technical_unknown_to_registration_timing_context,17 segmentation에서 직접 행동 원인으로 쓰지 않고 profile/context layer로 분리한다.,가입 시점과 가입 시간대 맥락 변수다.,Use this hotfix mapping for 17 segmentation handoff; do not treat old bucket as segment.
reg_hour_morning,technical_or_unknown,registration_timing_context,technical_unknown_to_registration_timing_context,17 segmentation에서 직접 행동 원인으로 쓰지 않고 profile/context layer로 분리한다.,가입 시점과 가입 시간대 맥락 변수다.,Use this hotfix mapping for 17 segmentation handoff; do not treat old bucket as segment.
reg_hour_night,technical_or_unknown,registration_timing_context,technical_unknown_to_registration_timing_context,17 segmentation에서 직접 행동 원인으로 쓰지 않고 profile/context layer로 분리한다.,가입 시점과 가입 시간대 맥락 변수다.,Use this hotfix mapping for 17 segmentation handoff; do not treat old bucket as segment.
reg_is_weekend,technical_or_unknown,registration_timing_context,technical_unknown_to_registration_timing_context,17 segmentation에서 registration timing context로 별도 caveat를 둔다.,주중/주말 가입 맥락 변수다.,Use this hotfix mapping for 17 segmentation handoff; do not treat old bucket as segment.
sf_fantasy_ratio,technical_or_unknown,genre_preference,technical_unknown_to_genre_preference,17 segmentation에서는 profile/action 소재로 사용하고 장르가 churn을 유발한다고 쓰지 않는다.,장르/콘텐츠 선호 ratio 계열이다.,Use this hotfix mapping for 17 segmentation handoff; do not treat old bucket as segment.
