near_miss_pattern_id,related_original_segment,existing_components_only,pattern_description,promo_group,outcome_group,rows,share_within_group,churn_rate_if_descriptively_available,interpretation,user_approval_required,caveat
diagnostic_near_miss__content_preference_target_candidate__1of3,content_preference_target_candidate,"not_high_risk_top20,not_low_activity,content_proxy_flag","1 of 3 existing components satisfied, but original priority rule did not assign the row to content_preference_target_candidate",promo0_non100won,churn,195,0.39235412474849096,1.0,near-miss diagnostic using existing components only,True,not a new segment id and not a reassignment
diagnostic_near_miss__content_preference_target_candidate__1of3,content_preference_target_candidate,"not_high_risk_top20,not_low_activity,content_proxy_flag","1 of 3 existing components satisfied, but original priority rule did not assign the row to content_preference_target_candidate",promo0_non100won,repurchase,714,0.20987654320987653,0.0,near-miss diagnostic using existing components only,True,not a new segment id and not a reassignment
diagnostic_near_miss__content_preference_target_candidate__1of3,content_preference_target_candidate,"not_high_risk_top20,not_low_activity,content_proxy_flag","1 of 3 existing components satisfied, but original priority rule did not assign the row to content_preference_target_candidate",promo1_100won,churn,314,0.4120734908136483,1.0,near-miss diagnostic using existing components only,True,not a new segment id and not a reassignment
diagnostic_near_miss__content_preference_target_candidate__1of3,content_preference_target_candidate,"not_high_risk_top20,not_low_activity,content_proxy_flag","1 of 3 existing components satisfied, but original priority rule did not assign the row to content_preference_target_candidate",promo1_100won,repurchase,674,0.20834621329211747,0.0,near-miss diagnostic using existing components only,True,not a new segment id and not a reassignment
diagnostic_near_miss__content_preference_target_candidate__2of3,content_preference_target_candidate,"not_high_risk_top20,not_low_activity,content_proxy_flag","2 of 3 existing components satisfied, but original priority rule did not assign the row to content_preference_target_candidate",promo0_non100won,churn,302,0.607645875251509,1.0,near-miss diagnostic using existing components only,True,not a new segment id and not a reassignment
diagnostic_near_miss__content_preference_target_candidate__2of3,content_preference_target_candidate,"not_high_risk_top20,not_low_activity,content_proxy_flag","2 of 3 existing components satisfied, but original priority rule did not assign the row to content_preference_target_candidate",promo0_non100won,repurchase,2688,0.7901234567901234,0.0,near-miss diagnostic using existing components only,True,not a new segment id and not a reassignment
diagnostic_near_miss__content_preference_target_candidate__2of3,content_preference_target_candidate,"not_high_risk_top20,not_low_activity,content_proxy_flag","2 of 3 existing components satisfied, but original priority rule did not assign the row to content_preference_target_candidate",promo1_100won,churn,448,0.5879265091863517,1.0,near-miss diagnostic using existing components only,True,not a new segment id and not a reassignment
diagnostic_near_miss__content_preference_target_candidate__2of3,content_preference_target_candidate,"not_high_risk_top20,not_low_activity,content_proxy_flag","2 of 3 existing components satisfied, but original priority rule did not assign the row to content_preference_target_candidate",promo1_100won,repurchase,2561,0.7916537867078826,0.0,near-miss diagnostic using existing components only,True,not a new segment id and not a reassignment
diagnostic_near_miss__high_risk_low_activity__1of2,high_risk_low_activity,"flag_high_risk_top20,flag_low_activity","1 of 2 existing components satisfied, but original priority rule did not assign the row to high_risk_low_activity",promo0_non100won,churn,363,0.7303822937625755,1.0,near-miss diagnostic using existing components only,True,not a new segment id and not a reassignment
diagnostic_near_miss__high_risk_low_activity__1of2,high_risk_low_activity,"flag_high_risk_top20,flag_low_activity","1 of 2 existing components satisfied, but original priority rule did not assign the row to high_risk_low_activity",promo0_non100won,repurchase,1675,0.49235743680188127,0.0,near-miss diagnostic using existing components only,True,not a new segment id and not a reassignment
diagnostic_near_miss__high_risk_low_activity__1of2,high_risk_low_activity,"flag_high_risk_top20,flag_low_activity","1 of 2 existing components satisfied, but original priority rule did not assign the row to high_risk_low_activity",promo1_100won,churn,550,0.7217847769028871,1.0,near-miss diagnostic using existing components only,True,not a new segment id and not a reassignment
diagnostic_near_miss__high_risk_low_activity__1of2,high_risk_low_activity,"flag_high_risk_top20,flag_low_activity","1 of 2 existing components satisfied, but original priority rule did not assign the row to high_risk_low_activity",promo1_100won,repurchase,1521,0.47017001545595055,0.0,near-miss diagnostic using existing components only,True,not a new segment id and not a reassignment
diagnostic_near_miss__high_risk_only_w1_or_cold_start_weak__1of2,high_risk_only_w1_or_cold_start_weak,"flag_high_risk_top20,flag_only_w1_or_cold_start_weak","1 of 2 existing components satisfied, but original priority rule did not assign the row to high_risk_only_w1_or_cold_start_weak",promo0_non100won,churn,215,0.43259557344064387,1.0,near-miss diagnostic using existing components only,True,not a new segment id and not a reassignment
diagnostic_near_miss__high_risk_only_w1_or_cold_start_weak__1of2,high_risk_only_w1_or_cold_start_weak,"flag_high_risk_top20,flag_only_w1_or_cold_start_weak","1 of 2 existing components satisfied, but original priority rule did not assign the row to high_risk_only_w1_or_cold_start_weak",promo0_non100won,repurchase,1580,0.4644326866549089,0.0,near-miss diagnostic using existing components only,True,not a new segment id and not a reassignment
diagnostic_near_miss__high_risk_only_w1_or_cold_start_weak__1of2,high_risk_only_w1_or_cold_start_weak,"flag_high_risk_top20,flag_only_w1_or_cold_start_weak","1 of 2 existing components satisfied, but original priority rule did not assign the row to high_risk_only_w1_or_cold_start_weak",promo1_100won,churn,333,0.43700787401574803,1.0,near-miss diagnostic using existing components only,True,not a new segment id and not a reassignment
diagnostic_near_miss__high_risk_only_w1_or_cold_start_weak__1of2,high_risk_only_w1_or_cold_start_weak,"flag_high_risk_top20,flag_only_w1_or_cold_start_weak","1 of 2 existing components satisfied, but original priority rule did not assign the row to high_risk_only_w1_or_cold_start_weak",promo1_100won,repurchase,1533,0.47387944358578055,0.0,near-miss diagnostic using existing components only,True,not a new segment id and not a reassignment
diagnostic_near_miss__high_risk_week3_inactive_or_drop__1of2,high_risk_week3_inactive_or_drop,"flag_high_risk_top20,flag_week3_inactive_or_drop_or_retention_decay","1 of 2 existing components satisfied, but original priority rule did not assign the row to high_risk_week3_inactive_or_drop",promo0_non100won,churn,341,0.6861167002012073,1.0,near-miss diagnostic using existing components only,True,not a new segment id and not a reassignment
diagnostic_near_miss__high_risk_week3_inactive_or_drop__1of2,high_risk_week3_inactive_or_drop,"flag_high_risk_top20,flag_week3_inactive_or_drop_or_retention_decay","1 of 2 existing components satisfied, but original priority rule did not assign the row to high_risk_week3_inactive_or_drop",promo0_non100won,repurchase,2364,0.6948853615520282,0.0,near-miss diagnostic using existing components only,True,not a new segment id and not a reassignment
diagnostic_near_miss__high_risk_week3_inactive_or_drop__1of2,high_risk_week3_inactive_or_drop,"flag_high_risk_top20,flag_week3_inactive_or_drop_or_retention_decay","1 of 2 existing components satisfied, but original priority rule did not assign the row to high_risk_week3_inactive_or_drop",promo1_100won,churn,480,0.6299212598425197,1.0,near-miss diagnostic using existing components only,True,not a new segment id and not a reassignment
diagnostic_near_miss__high_risk_week3_inactive_or_drop__1of2,high_risk_week3_inactive_or_drop,"flag_high_risk_top20,flag_week3_inactive_or_drop_or_retention_decay","1 of 2 existing components satisfied, but original priority rule did not assign the row to high_risk_week3_inactive_or_drop",promo1_100won,repurchase,2008,0.620710973724884,0.0,near-miss diagnostic using existing components only,True,not a new segment id and not a reassignment
