chart_id,final_v3_section,chart_title,chart_type,source_data_file,chart_ready_output_file,required_columns,uses_final_park_basis,can_use_existing_legacy_data,needs_recalculation_from_existing_csv,caution,priority
dataset_lineage_waterfall,data basis,Dataset lineage from raw to primary cohort,waterfall/bar,FINAL/project_guide_v3_evidence_pack_260521/dataset_lineage_summary.csv,05_dataset_feature_chart_ready.csv,"chart_id,label,value,group,unit",yes,no,yes_from_existing_csv,"23,343 raw only; 23,079 final primary cohort",high
feature_set_flow_bar,feature contract,Feature set count flow,bar,dataset_lineage_summary.csv; 15x_feature_set_comparison_design.csv,05_dataset_feature_chart_ready.csv,"chart_id,label,value,group,unit",yes,no,yes_from_existing_csv,Show 76 for overall_with_promotion and 75 for other scopes,high
AARRR_feature_count_bar,AARRR mapping,AARRR feature counts by stage,bar,AARRR_feature_mapping_table.csv,06_AARRR_chart_ready.csv,"AARRR_stage,feature_count_conservative,feature_count_expanded",yes,no,yes_from_existing_csv,Referral has no observed feature,high
AARRR_funnel_visual,AARRR mapping,Observed AARRR funnel / measurement ladder,bar/funnel-like,AARRR_feature_mapping_table.csv,06_AARRR_chart_ready.csv,"AARRR_stage,observed_status,guide_interpretation",yes,reuse_structure_only,yes_from_existing_csv,Revenue is target proxy,medium
promo_repurchase_gap_bar,promotion descriptive EDA,Promotion x repurchase descriptive gap,bar,existing 09x/FINAL evidence if supplied,not_created_missing_current_source,"promotion_group,repurchase_rate",yes,no,needs_source_selection,No predictions or significance claims,medium
stage_07_to_18_timeline_visual,project flow,Stage 07 to 18 visual timeline,timeline,stage_07_to_18_timeline.csv,04_final_v3_chart_registry.csv,"stage,stage_name,purpose,final_status",yes,reuse_structure_only,yes_from_existing_csv,Explanation only,medium
model_auc_flow,modeling evidence,AUC flow across model stages,line/bar,12x/14x/15x model summary CSVs,05_dataset_feature_chart_ready.csv,"stage,scope,model,oof_auc",yes,no,yes_from_existing_csv,Metrics are not campaign performance,medium
payment_device_sensitivity_delta_bar,payment-device sensitivity,AUC delta after payment-device removal,bar,15x_payment_removed_vs_original_comparison.csv,05_dataset_feature_chart_ready.csv,"chart_id,label,value,group,unit",yes,no,yes_from_existing_csv,Payment device is not viewing device,high
shap_top10_bar,SHAP,Overall with promotion LightGBM top10 SHAP,bar,16x_SHAP_global_importance.csv,09_SHAP_chart_ready.csv,"rank,feature_or_family,mean_abs_shap",yes,no,yes_from_existing_csv,SHAP is not causal,high
shap_family_importance_bar,SHAP,SHAP family importance,bar,16x_SHAP_family_importance.csv,09_SHAP_chart_ready.csv,"rank,feature_or_family,mean_abs_shap",yes,no,yes_from_existing_csv,Scope-specific,high
segment_share_doughnut,segments,Segment share distribution,doughnut,17x_segment_summary.csv,07_segment_chart_ready.csv,"segment_id,presentation_label,rows,share",yes,reuse_chart_type,yes_from_existing_csv,Rows are subscription-event rows,high
segment_repurchase_rate_bar,segments,Repurchase rate by segment,bar,17x_segment_summary.csv,07_segment_chart_ready.csv,"segment_id,repurchase_rate",yes,reuse_chart_type,yes_from_existing_csv,Repurchase is target proxy,medium
segment_churn_risk_bar,segments,Mean churn risk by segment,bar,17x_segment_summary.csv,07_segment_chart_ready.csv,"segment_id,mean_churn_risk",yes,reuse_chart_type,yes_from_existing_csv,churn_risk is score layer,high
segment_weekly_watch_line_or_bar,segments,W1/W2/W3 watch time by segment,line/grouped_bar,17x_dashboard_handoff_datamart.csv,07_segment_chart_ready.csv,"segment_id,watch_time_w1,watch_time_w2,watch_time_w3",yes,reuse_chart_type,yes_from_existing_csv,No new segment rule,medium
action_tier_distribution_bar,business action,Action tier size and share,bar,07_segment_chart_ready.csv,08_action_tier_chart_ready.csv,"action_tier,total_rows,total_share",yes,no,yes_from_existing_csv,Presentation grouping only,high
segment_action_priority_matrix,business action,Segment action priority matrix,scatter/bubble,07_segment_chart_ready.csv,07_segment_chart_ready.csv,"share,mean_churn_risk,action_tier",yes,reuse_chart_type,yes_from_existing_csv,No finalized campaign targeting,high
safe_unsafe_wording_summary,guardrails,Safe/unsafe wording summary,table,16x_safe_unsafe_wording.csv; 09_safe_unsafe_wording_final.csv,04_final_v3_chart_registry.csv,"guardrail,type,summary",yes,reuse_text_after_rewrite,yes_from_existing_csv,Rewrite into final v3 voice,high
