section,metric,value,count,ratio,note
required_metric,raw_View_History_rows,raw View_History rows,175301,1.0,Raw row count before Membership event attachment.
required_metric,joined_Membership_UserMapping_ViewHistory_rows_used_in_temporal_audit,joined temporal audit rows,180001,1.026811,Membership-event-level attachment count used by temporal audit.
required_metric,temporal_total_total_view_log_count_from_existing_temporal_audit,temporal table total_view_log_count sum,180001,1.026811,Should match joined temporal audit rows.
required_metric,expansion_rows,joined rows - raw rows,4700,0.026811,Net increase after accounting for both multiple attachments and zero attachments.
required_metric,expansion_ratio,joined rows / raw rows,180001,1.026811,Ratio above 1 means temporal audit is not raw ViewHistory-level.
required_metric,raw_view_rows_attached_to_multiple_membership_row_id,attachment_count > 1,2577,0.0147,Raw view rows reused across multiple Membership subscription events.
required_metric,membership_row_id_attached_to_multiple_USER_NUM,Membership USER_KEY maps to >1 USER_NUM,205,0.008515,Join risk. Must aggregate back to membership_row_id in later stages.
required_metric,USER_KEY_values_with_multiple_Membership_events,USER_KEY membership event count > 1,261,0.011022,Main reason raw view logs can attach to multiple subscription events.
supporting_metric,raw_view_rows_attached_to_zero_membership_row_id,attachment_count = 0,0,0.0,These rows reduce joined count relative to raw count.
supporting_metric,extra_rows_from_multiple_membership_event_attachment,sum(attachment_count - 1 where attachment_count > 1),4700,0.026811,Gross expansion before subtracting zero-attachment raw rows.
supporting_metric,raw_view_rows_from_mapping_USER_KEY_not_in_Membership,mapped USER_KEY exists but no Membership row,0,0.0,Explains most zero-attachment rows if nonzero.
supporting_metric,raw_view_rows_with_ambiguous_USER_NUM_to_USER_KEY,USER_NUM maps to multiple USER_KEY,0,0.0,Should be 0 if User_Mapping.USER_NUM is one-to-one.
supporting_metric,watch_date_gt_end_date_count_level,watch_date_gt_end_date,5740,,"Joined membership-event-level count, not raw ViewHistory-level count."
supporting_metric,watch_date_eq_end_date_count_level,watch_date_eq_end_date,260,,"Joined membership-event-level count, not raw ViewHistory-level count."
attachment_distribution,raw_view_row_attachment_count,attachment_count=1,172724,0.9853,Number of membership_row_id values attached to each raw View_History row.
attachment_distribution,raw_view_row_attachment_count,attachment_count=2,1767,0.01008,Number of membership_row_id values attached to each raw View_History row.
attachment_distribution,raw_view_row_attachment_count,attachment_count=3,178,0.001015,Number of membership_row_id values attached to each raw View_History row.
attachment_distribution,raw_view_row_attachment_count,attachment_count=4,560,0.003195,Number of membership_row_id values attached to each raw View_History row.
attachment_distribution,raw_view_row_attachment_count,attachment_count=6,16,9.1e-05,Number of membership_row_id values attached to each raw View_History row.
attachment_distribution,raw_view_row_attachment_count,attachment_count=10,11,6.3e-05,Number of membership_row_id values attached to each raw View_History row.
attachment_distribution,raw_view_row_attachment_count,attachment_count=14,26,0.000148,Number of membership_row_id values attached to each raw View_History row.
attachment_distribution,raw_view_row_attachment_count,attachment_count=21,19,0.000108,Number of membership_row_id values attached to each raw View_History row.
top_reason,multiple_membership_events_for_same_USER_KEY,gross extra joined rows,4700,,Top expansion reason: same USER_KEY can have multiple Membership subscription events.
top_reason,mapping_USER_KEY_without_membership_event,zero-attachment raw rows,0,,Offsetting reason: some raw View_History rows map to USER_KEY values absent from Membership.
top_reason,net_expansion_after_offsets,gross extra - zero attachment rows,4700,,180001 - 175301 = 4700.
