column_name,AARRR_stage_primary,feature_family,timing_family,why_usable_conservatively,modeling_ladder_family_suggestion,expected_interpretation_if_important_later,caveat
avg_gap_w1_watch_days,retention,usage_observation,week1_observation,Present in 05b conservative safe candidate list and in 06 conservative feature table.,L4_safe_behavioral_combined,"Interpret as descriptive day0-20 behavior association with repurchase target, not causal effect.","Proxy feature only; future modeling must keep target, split, and group rules."
avg_gap_w2_watch_days,retention,usage_observation,week2_observation,Present in 05b conservative safe candidate list and in 06 conservative feature table.,L2_retention_w2_safe_window,"Interpret as descriptive day0-20 behavior association with repurchase target, not causal effect.","Proxy feature only; future modeling must keep target, split, and group rules."
avg_gap_w3_watch_days,retention,usage_observation,week3_observation,Present in 05b conservative safe candidate list and in 06 conservative feature table.,L3_retention_w3_safe_window,"Interpret as descriptive day0-20 behavior association with repurchase target, not causal effect.","Proxy feature only; future modeling must keep target, split, and group rules."
is_cold_start_3d,activation,activation_onboarding,early_activation,Present in 05b conservative safe candidate list and in 06 conservative feature table.,L1_activation_safe_window,"Interpret as descriptive day0-20 behavior association with repurchase target, not causal effect.","Proxy feature only; future modeling must keep target, split, and group rules."
is_cold_start_7d,activation,activation_onboarding,week1_observation,Present in 05b conservative safe candidate list and in 06 conservative feature table.,L1_activation_safe_window,"Interpret as descriptive day0-20 behavior association with repurchase target, not causal effect.","Proxy feature only; future modeling must keep target, split, and group rules."
watch_time(min)_w1,activation,usage_observation,week1_observation,Present in 05b conservative safe candidate list and in 06 conservative feature table.,L1_activation_safe_window,"Interpret as descriptive day0-20 behavior association with repurchase target, not causal effect.","Proxy feature only; future modeling must keep target, split, and group rules."
watch_time(min)_w2,retention,usage_observation,week2_observation,Present in 05b conservative safe candidate list and in 06 conservative feature table.,L2_retention_w2_safe_window,"Interpret as descriptive day0-20 behavior association with repurchase target, not causal effect.","Proxy feature only; future modeling must keep target, split, and group rules."
watch_time(min)_w3,retention,usage_observation,week3_observation,Present in 05b conservative safe candidate list and in 06 conservative feature table.,L3_retention_w3_safe_window,"Interpret as descriptive day0-20 behavior association with repurchase target, not causal effect.","Proxy feature only; future modeling must keep target, split, and group rules."
watch_session_w1,activation,usage_observation,week1_observation,Present in 05b conservative safe candidate list and in 06 conservative feature table.,L1_activation_safe_window,"Interpret as descriptive day0-20 behavior association with repurchase target, not causal effect.","Proxy feature only; future modeling must keep target, split, and group rules."
watch_session_w2,retention,usage_observation,week2_observation,Present in 05b conservative safe candidate list and in 06 conservative feature table.,L2_retention_w2_safe_window,"Interpret as descriptive day0-20 behavior association with repurchase target, not causal effect.","Proxy feature only; future modeling must keep target, split, and group rules."
