topic,safe_wording,unsafe_wording,reason
100원딜은 이탈을 유발했다,"100원딜은 낮은 진입 비용으로 유입 맥락이 다를 수 있으며, 관찰된 이탈률 차이는 인과 효과로 단정하지 않는다.",100원딜이 이탈을 유발했다.,관찰 데이터와 segmentation은 인과 추론이 아니다.
100원딜 고객은 이용 동기가 약할 수 있다,100원딜 고객은 정가 고객과 지불 의향이나 이용 동기가 다를 가능성이 있으므로 별도 해석이 필요하다.,100원딜 고객은 원래 이용 동기가 약한 사람들이다.,동기는 직접 관측되지 않았으므로 가능성 표현만 허용한다.
3주차 시청량 감소는 이탈 원인이다,3주차 시청량 감소는 이탈 원인이 아니라 day0~20 관측창에서 보이는 행동 변화다.,3주차 시청량 감소가 이탈의 원인이다.,행동 신호와 원인은 구분해야 한다.
3주차 시청량 감소는 이탈 위험 신호다,3주차 시청량 감소는 이탈 위험과 함께 관찰되는 강한 행동 신호로 표현할 수 있다.,3주차 감소를 보면 반드시 이탈한다.,위험 신호는 확률적 관찰이며 확정 예측이 아니다.
세그먼트는 캠페인 타겟이다,세그먼트는 캠페인 타겟 확정이 아니라 개입 우선순위 후보군 또는 검토 후보군이다.,이 세그먼트가 바로 캠페인 타겟이다.,threshold와 실험 검증 전 타겟 확정 표현은 금지한다.
세그먼트는 개입 우선순위 후보군이다,"세그먼트는 개입 우선순위 후보군이며, 실제 집행 전 팀 검토와 A/B test가 필요하다.",세그먼트가 정답 타겟이다.,운영 의사결정에는 별도 검증이 필요하다.
SHAP은 원인이다,SHAP은 fitted model explanation이며 원인 또는 정책 효과가 아니다.,SHAP이 원인을 증명했다.,모델 설명과 인과 증거는 다르다.
SHAP은 모델 설명이다,SHAP은 해당 모델이 어떤 feature를 사용해 예측을 구성했는지 설명하는 보조 근거다.,SHAP 값이 높으면 그 feature가 고객 이탈을 발생시켰다.,설명 가능성 도구의 범위를 제한한다.
age/gender는 이탈 원인이다,age/gender는 이탈 원인으로 해석하지 않고 메시지 차별화 layer로만 사용한다.,20대라서 이탈한다. 여성이라서 이탈한다.,민감한 demographic overinterpretation을 막아야 한다.
age/gender는 메시지 차별화 layer다,"age/gender는 segment rule이 아니라 채널, 문구, 콘텐츠 묶음을 조정하는 personalization layer다.",age/gender를 segment rule로 넣어 최종 타겟을 만든다.,이번 FINAL 원칙은 demographic personalization only다.
