side,purpose,relative_path,file_name,row_count,column_count,feature_like_column_count,has_USER_KEY,has_is_repurchase,has_is_promotion,has_repurchase_score,has_churn_risk,columns_preview,sha256,candidate_rank
park,06x_expanded_dataset.csv,park.ingyeom\reports\audits\06x_dataset_generation_260515\06x_expanded_dataset.csv,06x_expanded_dataset.csv,23079,82,79,True,True,True,False,False,USER_KEY; is_repurchase; is_promotion; is_churn_prevented; is_user_verified; is_standard; is_premium; age_group; is_female; is_male; reg_is_weekend; reg_hour_morning; reg_hour_afternoon; reg_hour_evening; reg_hour_night; payment_is_mobile; payment_is_pc; payment_is_android; payment_is_ios; total_watch_count; unique_movie; watch_days; active_ratio; total_watch_time_min; watch_per_day; avg_watch_time_min; median_watch_time_min; std_watch_time_min; avg_daily_watch_time_min; max_watch_time_min; max_daily_watch_time_min; max_daily_sessions; recency; avg_gap_between_watch_days; avg_gap_w1_watch_days; avg_gap_w2_watch_days; avg_gap_w3_watch_days; max_inactive_gap_days; avg_rewatch_ratio; weekend_watch_ratio,7044e2b6d6a6cbd4877c3d342bd9fd286c7a4241d074d26b02e29af4ab686364,1
park,06x_expanded_dataset.csv,park.ingyeom\reports\audits\html_claim_validation_core_sources_20260518_212100\park.ingyeom\reports\audits\06x_dataset_generation_260515\06x_expanded_dataset.csv,06x_expanded_dataset.csv,23079,82,79,True,True,True,False,False,USER_KEY; is_repurchase; is_promotion; is_churn_prevented; is_user_verified; is_standard; is_premium; age_group; is_female; is_male; reg_is_weekend; reg_hour_morning; reg_hour_afternoon; reg_hour_evening; reg_hour_night; payment_is_mobile; payment_is_pc; payment_is_android; payment_is_ios; total_watch_count; unique_movie; watch_days; active_ratio; total_watch_time_min; watch_per_day; avg_watch_time_min; median_watch_time_min; std_watch_time_min; avg_daily_watch_time_min; max_watch_time_min; max_daily_watch_time_min; max_daily_sessions; recency; avg_gap_between_watch_days; avg_gap_w1_watch_days; avg_gap_w2_watch_days; avg_gap_w3_watch_days; max_inactive_gap_days; avg_rewatch_ratio; weekend_watch_ratio,7044e2b6d6a6cbd4877c3d342bd9fd286c7a4241d074d26b02e29af4ab686364,2
park,06x_conservative_dataset.csv,park.ingyeom\reports\audits\06x_dataset_generation_260515\06x_conservative_dataset.csv,06x_conservative_dataset.csv,23079,24,22,True,True,False,False,False,USER_KEY; is_repurchase; avg_gap_w1_watch_days; avg_gap_w2_watch_days; avg_gap_w3_watch_days; watch_time_min_w1; watch_time_min_w2; watch_time_min_w3; watch_session_w1; watch_session_w2; watch_session_w3; retention_w2_ratio; retention_w3_ratio; diff_between_w2_w1; diff_between_w3_w1; diff_between_w3_w2; is_w1_over_50pct; is_w2_over_50pct; is_w3_over_50pct; is_only_w1; is_only_w2; is_only_w3; is_cold_start_3d_fixed; is_cold_start_7d_fixed,f9915b2c9a539a93f1d3f9e769586251f51a0d541e3d2173a9bf8ff30ddd4c1f,1
park,06x_conservative_dataset.csv,park.ingyeom\reports\audits\html_claim_validation_core_sources_20260518_212100\park.ingyeom\reports\audits\06x_dataset_generation_260515\06x_conservative_dataset.csv,06x_conservative_dataset.csv,23079,24,22,True,True,False,False,False,USER_KEY; is_repurchase; avg_gap_w1_watch_days; avg_gap_w2_watch_days; avg_gap_w3_watch_days; watch_time_min_w1; watch_time_min_w2; watch_time_min_w3; watch_session_w1; watch_session_w2; watch_session_w3; retention_w2_ratio; retention_w3_ratio; diff_between_w2_w1; diff_between_w3_w1; diff_between_w3_w2; is_w1_over_50pct; is_w2_over_50pct; is_w3_over_50pct; is_only_w1; is_only_w2; is_only_w3; is_cold_start_3d_fixed; is_cold_start_7d_fixed,f9915b2c9a539a93f1d3f9e769586251f51a0d541e3d2173a9bf8ff30ddd4c1f,2
park,06_primary_main_cohort_conservative_features.csv,park.ingyeom\_archive\pre13b_ref\reports\audits\06_common_preprocessing_and_final_cohort_260513\run_20260514_014702\06_primary_main_cohort_conservative_features.csv,06_primary_main_cohort_conservative_features.csv,23079,38,35,True,True,True,False,False,source_row_number; USER_KEY; is_promotion; is_repurchase; duration_days; flag_duration_lt_21; flag_duration_eq_0; flag_duration_21_30; flag_duration_ge_21; flag_invalid_reg_date; flag_invalid_end_date; flag_full_duplicate_all_columns; flag_full_duplicate_keep_first; flag_full_duplicate_to_exclude_from_main; flag_duplicated_USER_KEY; flag_cross_promotion_USER_KEY_overlap; avg_gap_w1_watch_days; avg_gap_w2_watch_days; avg_gap_w3_watch_days; is_cold_start_3d; is_cold_start_7d; watch_time(min)_w1; watch_time(min)_w2; watch_time(min)_w3; watch_session_w1; watch_session_w2; watch_session_w3; retention_w2_ratio; retention_w3_ratio; diff_between_w2_w1; diff_between_w3_w1; diff_between_w3_w2; is_w1_over_50pct; is_w2_over_50pct; is_w3_over_50pct; is_only_w1; is_only_w2; is_only_w3,71b8d8c8e694d22ec519d48fb575132031731544fde60554427e1485be3265a5,1
park,06_primary_main_cohort_conservative_features.csv,park.ingyeom\_archive\pre13b_ref\reports\audits\06_common_preprocessing_and_final_cohort_260513\06_primary_main_cohort_conservative_features.csv,06_primary_main_cohort_conservative_features.csv,23079,38,35,True,True,True,False,False,source_row_number; USER_KEY; is_promotion; is_repurchase; duration_days; flag_duration_lt_21; flag_duration_eq_0; flag_duration_21_30; flag_duration_ge_21; flag_invalid_reg_date; flag_invalid_end_date; flag_full_duplicate_all_columns; flag_full_duplicate_keep_first; flag_full_duplicate_to_exclude_from_main; flag_duplicated_USER_KEY; flag_cross_promotion_USER_KEY_overlap; avg_gap_w1_watch_days; avg_gap_w2_watch_days; avg_gap_w3_watch_days; is_cold_start_3d; is_cold_start_7d; watch_time(min)_w1; watch_time(min)_w2; watch_time(min)_w3; watch_session_w1; watch_session_w2; watch_session_w3; retention_w2_ratio; retention_w3_ratio; diff_between_w2_w1; diff_between_w3_w1; diff_between_w3_w2; is_w1_over_50pct; is_w2_over_50pct; is_w3_over_50pct; is_only_w1; is_only_w2; is_only_w3,71b8d8c8e694d22ec519d48fb575132031731544fde60554427e1485be3265a5,2
park,06_primary_main_cohort_conservative_features.csv,park.ingyeom\_archive\handoff\handoff_260515\new_chat_handoff_20260515_000508\canonical_outputs\06_common_preprocessing_and_final_cohort_260513\run_20260514_014702\06_primary_main_cohort_conservative_features.csv,06_primary_main_cohort_conservative_features.csv,23079,38,35,True,True,True,False,False,source_row_number; USER_KEY; is_promotion; is_repurchase; duration_days; flag_duration_lt_21; flag_duration_eq_0; flag_duration_21_30; flag_duration_ge_21; flag_invalid_reg_date; flag_invalid_end_date; flag_full_duplicate_all_columns; flag_full_duplicate_keep_first; flag_full_duplicate_to_exclude_from_main; flag_duplicated_USER_KEY; flag_cross_promotion_USER_KEY_overlap; avg_gap_w1_watch_days; avg_gap_w2_watch_days; avg_gap_w3_watch_days; is_cold_start_3d; is_cold_start_7d; watch_time(min)_w1; watch_time(min)_w2; watch_time(min)_w3; watch_session_w1; watch_session_w2; watch_session_w3; retention_w2_ratio; retention_w3_ratio; diff_between_w2_w1; diff_between_w3_w1; diff_between_w3_w2; is_w1_over_50pct; is_w2_over_50pct; is_w3_over_50pct; is_only_w1; is_only_w2; is_only_w3,71b8d8c8e694d22ec519d48fb575132031731544fde60554427e1485be3265a5,3
park,06_primary_main_cohort_conservative_features.csv,park.ingyeom\_archive\handoff\handoff_260515\new_chat_handoff_20260515_000956\canonical_outputs\06_common_preprocessing_and_final_cohort_260513\run_20260514_014702\06_primary_main_cohort_conservative_features.csv,06_primary_main_cohort_conservative_features.csv,23079,38,35,True,True,True,False,False,source_row_number; USER_KEY; is_promotion; is_repurchase; duration_days; flag_duration_lt_21; flag_duration_eq_0; flag_duration_21_30; flag_duration_ge_21; flag_invalid_reg_date; flag_invalid_end_date; flag_full_duplicate_all_columns; flag_full_duplicate_keep_first; flag_full_duplicate_to_exclude_from_main; flag_duplicated_USER_KEY; flag_cross_promotion_USER_KEY_overlap; avg_gap_w1_watch_days; avg_gap_w2_watch_days; avg_gap_w3_watch_days; is_cold_start_3d; is_cold_start_7d; watch_time(min)_w1; watch_time(min)_w2; watch_time(min)_w3; watch_session_w1; watch_session_w2; watch_session_w3; retention_w2_ratio; retention_w3_ratio; diff_between_w2_w1; diff_between_w3_w1; diff_between_w3_w2; is_w1_over_50pct; is_w2_over_50pct; is_w3_over_50pct; is_only_w1; is_only_w2; is_only_w3,71b8d8c8e694d22ec519d48fb575132031731544fde60554427e1485be3265a5,4
park,06_primary_main_cohort_conservative_features.csv,park.ingyeom\_archive\handoff\handoff_260515\new_chat_handoff_20260515_000508\canonical_outputs\06_common_preprocessing_and_final_cohort_260513\06_primary_main_cohort_conservative_features.csv,06_primary_main_cohort_conservative_features.csv,23079,38,35,True,True,True,False,False,source_row_number; USER_KEY; is_promotion; is_repurchase; duration_days; flag_duration_lt_21; flag_duration_eq_0; flag_duration_21_30; flag_duration_ge_21; flag_invalid_reg_date; flag_invalid_end_date; flag_full_duplicate_all_columns; flag_full_duplicate_keep_first; flag_full_duplicate_to_exclude_from_main; flag_duplicated_USER_KEY; flag_cross_promotion_USER_KEY_overlap; avg_gap_w1_watch_days; avg_gap_w2_watch_days; avg_gap_w3_watch_days; is_cold_start_3d; is_cold_start_7d; watch_time(min)_w1; watch_time(min)_w2; watch_time(min)_w3; watch_session_w1; watch_session_w2; watch_session_w3; retention_w2_ratio; retention_w3_ratio; diff_between_w2_w1; diff_between_w3_w1; diff_between_w3_w2; is_w1_over_50pct; is_w2_over_50pct; is_w3_over_50pct; is_only_w1; is_only_w2; is_only_w3,71b8d8c8e694d22ec519d48fb575132031731544fde60554427e1485be3265a5,5
park,06_primary_main_cohort_conservative_features.csv,park.ingyeom\_archive\handoff\handoff_260515\new_chat_handoff_20260515_000956\canonical_outputs\06_common_preprocessing_and_final_cohort_260513\06_primary_main_cohort_conservative_features.csv,06_primary_main_cohort_conservative_features.csv,23079,38,35,True,True,True,False,False,source_row_number; USER_KEY; is_promotion; is_repurchase; duration_days; flag_duration_lt_21; flag_duration_eq_0; flag_duration_21_30; flag_duration_ge_21; flag_invalid_reg_date; flag_invalid_end_date; flag_full_duplicate_all_columns; flag_full_duplicate_keep_first; flag_full_duplicate_to_exclude_from_main; flag_duplicated_USER_KEY; flag_cross_promotion_USER_KEY_overlap; avg_gap_w1_watch_days; avg_gap_w2_watch_days; avg_gap_w3_watch_days; is_cold_start_3d; is_cold_start_7d; watch_time(min)_w1; watch_time(min)_w2; watch_time(min)_w3; watch_session_w1; watch_session_w2; watch_session_w3; retention_w2_ratio; retention_w3_ratio; diff_between_w2_w1; diff_between_w3_w1; diff_between_w3_w2; is_w1_over_50pct; is_w2_over_50pct; is_w3_over_50pct; is_only_w1; is_only_w2; is_only_w3,71b8d8c8e694d22ec519d48fb575132031731544fde60554427e1485be3265a5,6
