variable,candidate_formula_id,candidate_formula_description,source_files_used,source_columns_used,join_key,date_basis,observation_window,denominator,zero_denominator_policy,missing_policy,compared_rows,matched_rows,mismatched_rows,match_rate,max_abs_diff,mean_abs_diff,sample_mismatch_1,sample_mismatch_2,sample_mismatch_3,sample_matches,sample_mismatches,selected_candidate,selected_as_best_candidate,confidence_level,null_match_handling,reason,note
avg_gap_w1_watch_days,avg_gap_w1_watch_days_reg_day0_to_day20_unique_day_gap_mean,mean gap between sorted distinct watch days inside w1,View_History_v2.csv; User_Mapping_v2.csv; Membership_v2.csv,USER_NUM; MOVIE_NUM; watch_time(min); watch_day; watch_seq; reg_date,USER_KEY,Membership_v2.csv reg_date,reg_day0_to_day20,,,both NaN treated as match,23343,23236,107,0.9954161847234717,6.0,0.011125390909480358,"USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=0.0, candidate=6.0","USER_KEY=48a1980ffa4529b083aac4cd2905b676125fc2fe48903e11cdc8f3a40..., master=0.0, candidate=6.0","USER_KEY=48a1980ffa4529b083aac4cd2905b676125fc2fe48903e11cdc8f3a40..., master=0.0, candidate=6.0","USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=3.0 | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=0.0 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=0.0","USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=0.0, candidate=6.0 | USER_KEY=48a1980ffa4529b083aac4cd2905b676125fc2fe48903e11cdc8f3a40..., master=0.0, candidate=6.0 | USER_KEY=48a1980ffa4529b083aac4cd2905b676125fc2fe48903e11cdc8f3a40..., master=0.0, candidate=6.0",False,False,,both_nan_match,,
avg_gap_w2_watch_days,avg_gap_w2_watch_days_reg_day0_to_day20_unique_day_gap_mean,mean gap between sorted distinct watch days inside w2,View_History_v2.csv; User_Mapping_v2.csv; Membership_v2.csv,USER_NUM; MOVIE_NUM; watch_time(min); watch_day; watch_seq; reg_date,USER_KEY,Membership_v2.csv reg_date,reg_day0_to_day20,,,both NaN treated as match,23343,23246,97,0.9958445786745491,6.0,0.00729412100701138,"USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=1.0, candidate=1.25","USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=2.5, candidate=1.25","USER_KEY=48a1980ffa4529b083aac4cd2905b676125fc2fe48903e11cdc8f3a40..., master=0.0, candidate=1.5","USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=1.0 | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=0.0 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=0.0","USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=1.0, candidate=1.25 | USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=2.5, candidate=1.25 | USER_KEY=48a1980ffa4529b083aac4cd2905b676125fc2fe48903e11cdc8f3a40..., master=0.0, candidate=1.5",False,False,,both_nan_match,,
avg_gap_w3_watch_days,avg_gap_w3_watch_days_reg_day0_to_day20_unique_day_gap_mean,mean gap between sorted distinct watch days inside w3,View_History_v2.csv; User_Mapping_v2.csv; Membership_v2.csv,USER_NUM; MOVIE_NUM; watch_time(min); watch_day; watch_seq; reg_date,USER_KEY,Membership_v2.csv reg_date,reg_day0_to_day20,,,both NaN treated as match,23343,23230,113,0.9951591483528253,6.0,0.01018149623727313,"USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=0.0, candidate=1.0","USER_KEY=6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d2..., master=0.0, candidate=2.0","USER_KEY=6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d2..., master=0.0, candidate=2.0","USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=0.0 | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=0.0 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=0.0","USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=0.0, candidate=1.0 | USER_KEY=6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d2..., master=0.0, candidate=2.0 | USER_KEY=6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d2..., master=0.0, candidate=2.0",False,False,,both_nan_match,,
avg_gap_w1_watch_days,avg_gap_w1_watch_days_reg_day1_to_day21_unique_day_gap_mean,mean gap between sorted distinct watch days inside w1,View_History_v2.csv; User_Mapping_v2.csv; Membership_v2.csv,USER_NUM; MOVIE_NUM; watch_time(min); watch_day; watch_seq; reg_date,USER_KEY,Membership_v2.csv reg_date,reg_day1_to_day21,,,both NaN treated as match,23343,20647,2696,0.88450499078953,6.0,0.23899027545731055,"USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., master=3.0, candidate=5.0","USER_KEY=985ed8305ba05d88f22ad4b4dc1b832af4eb66d39d9ff5cd21613bf6e..., master=2.0, candidate=0.0","USER_KEY=b034b4906fb719f737aeb897bc8cb7b2945f4e12e9d9c0d3c40562e67..., master=2.0, candidate=3.0","USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=0.0 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=0.0 | USER_KEY=534bc7b6b1ce05de6523f79872108d8dccc1dab38e2c1fb3c40e96913..., value=0.0","USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., master=3.0, candidate=5.0 | USER_KEY=985ed8305ba05d88f22ad4b4dc1b832af4eb66d39d9ff5cd21613bf6e..., master=2.0, candidate=0.0 | USER_KEY=b034b4906fb719f737aeb897bc8cb7b2945f4e12e9d9c0d3c40562e67..., master=2.0, candidate=3.0",False,False,,both_nan_match,,
avg_gap_w2_watch_days,avg_gap_w2_watch_days_reg_day1_to_day21_unique_day_gap_mean,mean gap between sorted distinct watch days inside w2,View_History_v2.csv; User_Mapping_v2.csv; Membership_v2.csv,USER_NUM; MOVIE_NUM; watch_time(min); watch_day; watch_seq; reg_date,USER_KEY,Membership_v2.csv reg_date,reg_day1_to_day21,,,both NaN treated as match,23343,23246,97,0.9958445786745491,6.0,0.00729412100701138,"USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=1.0, candidate=1.25","USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=2.5, candidate=1.25","USER_KEY=48a1980ffa4529b083aac4cd2905b676125fc2fe48903e11cdc8f3a40..., master=0.0, candidate=1.5","USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=1.0 | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=0.0 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=0.0","USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=1.0, candidate=1.25 | USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=2.5, candidate=1.25 | USER_KEY=48a1980ffa4529b083aac4cd2905b676125fc2fe48903e11cdc8f3a40..., master=0.0, candidate=1.5",False,False,,both_nan_match,,
avg_gap_w3_watch_days,avg_gap_w3_watch_days_reg_day1_to_day21_unique_day_gap_mean,mean gap between sorted distinct watch days inside w3,View_History_v2.csv; User_Mapping_v2.csv; Membership_v2.csv,USER_NUM; MOVIE_NUM; watch_time(min); watch_day; watch_seq; reg_date,USER_KEY,Membership_v2.csv reg_date,reg_day1_to_day21,,,both NaN treated as match,23343,23230,113,0.9951591483528253,6.0,0.01018149623727313,"USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=0.0, candidate=1.0","USER_KEY=6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d2..., master=0.0, candidate=2.0","USER_KEY=6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d2..., master=0.0, candidate=2.0","USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=0.0 | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=0.0 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=0.0","USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=0.0, candidate=1.0 | USER_KEY=6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d2..., master=0.0, candidate=2.0 | USER_KEY=6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d2..., master=0.0, candidate=2.0",False,False,,both_nan_match,,
avg_gap_w1_watch_days,avg_gap_w1_watch_days_reg_day0_to_day21_unique_day_gap_mean,mean gap between sorted distinct watch days inside w1,View_History_v2.csv; User_Mapping_v2.csv; Membership_v2.csv,USER_NUM; MOVIE_NUM; watch_time(min); watch_day; watch_seq; reg_date,USER_KEY,Membership_v2.csv reg_date,reg_day0_to_day21,,,both NaN treated as match,23343,23236,107,0.9954161847234717,6.0,0.011125390909480358,"USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=0.0, candidate=6.0","USER_KEY=48a1980ffa4529b083aac4cd2905b676125fc2fe48903e11cdc8f3a40..., master=0.0, candidate=6.0","USER_KEY=48a1980ffa4529b083aac4cd2905b676125fc2fe48903e11cdc8f3a40..., master=0.0, candidate=6.0","USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=3.0 | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=0.0 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=0.0","USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=0.0, candidate=6.0 | USER_KEY=48a1980ffa4529b083aac4cd2905b676125fc2fe48903e11cdc8f3a40..., master=0.0, candidate=6.0 | USER_KEY=48a1980ffa4529b083aac4cd2905b676125fc2fe48903e11cdc8f3a40..., master=0.0, candidate=6.0",False,False,,both_nan_match,,
avg_gap_w2_watch_days,avg_gap_w2_watch_days_reg_day0_to_day21_unique_day_gap_mean,mean gap between sorted distinct watch days inside w2,View_History_v2.csv; User_Mapping_v2.csv; Membership_v2.csv,USER_NUM; MOVIE_NUM; watch_time(min); watch_day; watch_seq; reg_date,USER_KEY,Membership_v2.csv reg_date,reg_day0_to_day21,,,both NaN treated as match,23343,23246,97,0.9958445786745491,6.0,0.00729412100701138,"USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=1.0, candidate=1.25","USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=2.5, candidate=1.25","USER_KEY=48a1980ffa4529b083aac4cd2905b676125fc2fe48903e11cdc8f3a40..., master=0.0, candidate=1.5","USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=1.0 | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=0.0 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=0.0","USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=1.0, candidate=1.25 | USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=2.5, candidate=1.25 | USER_KEY=48a1980ffa4529b083aac4cd2905b676125fc2fe48903e11cdc8f3a40..., master=0.0, candidate=1.5",False,False,,both_nan_match,,
avg_gap_w3_watch_days,avg_gap_w3_watch_days_reg_day0_to_day21_unique_day_gap_mean,mean gap between sorted distinct watch days inside w3,View_History_v2.csv; User_Mapping_v2.csv; Membership_v2.csv,USER_NUM; MOVIE_NUM; watch_time(min); watch_day; watch_seq; reg_date,USER_KEY,Membership_v2.csv reg_date,reg_day0_to_day21,,,both NaN treated as match,23343,23230,113,0.9951591483528253,6.0,0.01018149623727313,"USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=0.0, candidate=1.0","USER_KEY=6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d2..., master=0.0, candidate=2.0","USER_KEY=6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d2..., master=0.0, candidate=2.0","USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., value=0.0 | USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=0.0 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=0.0","USER_KEY=a02a14ff1ab86edbfe46ad5a6a7fce054dc83c39aa7c362622171c550..., master=0.0, candidate=1.0 | USER_KEY=6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d2..., master=0.0, candidate=2.0 | USER_KEY=6513fff57e32407ab087206e57186ee4cbde4888a5f79702f9caee7d2..., master=0.0, candidate=2.0",False,False,,both_nan_match,,
avg_gap_w1_watch_days,avg_gap_w1_watch_days_end_minus20_to_end_unique_day_gap_mean,mean gap between sorted distinct watch days inside w1,View_History_v2.csv; User_Mapping_v2.csv; Membership_v2.csv,USER_NUM; MOVIE_NUM; watch_time(min); watch_day; watch_seq; reg_date,USER_KEY,Membership_v2.csv end_date,end_minus20_to_end,,,both NaN treated as match,23343,15879,7464,0.6802467549158205,6.0,0.6644225963529395,"USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., master=3.0, candidate=0.0","USER_KEY=985ed8305ba05d88f22ad4b4dc1b832af4eb66d39d9ff5cd21613bf6e..., master=2.0, candidate=0.0","USER_KEY=482a8174f937ec686cfed3dd029604b33df40d4d7616a7e9c985fb6b1..., master=2.0, candidate=0.0","USER_KEY=4ec765db76545c1d6dda9f421590bf9d02f584009f8d92100afeef459..., value=0.0 | USER_KEY=01b16f9f7ff29b48b1ee0d1a89d1eb9662474e5eedb8c2d967ea43793..., value=0.0 | USER_KEY=534bc7b6b1ce05de6523f79872108d8dccc1dab38e2c1fb3c40e96913..., value=0.0","USER_KEY=7a6960912bebe03c6e4c770eb1aa91329c3497f18f90cae56d6c8ddc1..., master=3.0, candidate=0.0 | USER_KEY=985ed8305ba05d88f22ad4b4dc1b832af4eb66d39d9ff5cd21613bf6e..., master=2.0, candidate=0.0 | USER_KEY=482a8174f937ec686cfed3dd029604b33df40d4d7616a7e9c985fb6b1..., master=2.0, candidate=0.0",False,False,,both_nan_match,,
