portfolio_scenario,scenario,included_segments,total_targeted_users,contact_volume_treated_users,total_expected_incremental_retained_users,total_expected_churn_reduction,baseline_churners_in_portfolio,portfolio_churner_reduction_share,total_campaign_cost,total_net_value,roi,financial_status,operational_caution,assumption_source
high_risk_only,low,top_decile_high_churn_risk,478.0,345.355,3.4535500000000003,3.4535500000000003,375.0,0.009209466666666668,,,,assumption_required_no_profit_claim,Safest presentation scope and smallest contact volume.,portfolio aggregation of editable placeholder assumptions
high_risk_only,base,top_decile_high_churn_risk,478.0,345.355,10.36065,10.36065,375.0,0.0276284,,,,assumption_required_no_profit_claim,Safest presentation scope and smallest contact volume.,portfolio aggregation of editable placeholder assumptions
high_risk_only,high,top_decile_high_churn_risk,478.0,345.355,17.267750000000003,17.267750000000003,375.0,0.04604733333333334,,,,assumption_required_no_profit_claim,Safest presentation scope and smallest contact volume.,portfolio aggregation of editable placeholder assumptions
high_risk_plus_low_engagement,low,top_decile_high_churn_risk|risk_10_30_low_engagement,956.0,670.395,6.703950000000001,6.703950000000001,646.0,0.01037763157894737,,,,assumption_required_no_profit_claim,"Still focused, but requires onboarding execution capacity.",portfolio aggregation of editable placeholder assumptions
high_risk_plus_low_engagement,base,top_decile_high_churn_risk|risk_10_30_low_engagement,956.0,670.395,20.11185,20.11185,646.0,0.031132894736842106,,,,assumption_required_no_profit_claim,"Still focused, but requires onboarding execution capacity.",portfolio aggregation of editable placeholder assumptions
high_risk_plus_low_engagement,high,top_decile_high_churn_risk|risk_10_30_low_engagement,956.0,670.395,33.51975,33.51975,646.0,0.051888157894736844,,,,assumption_required_no_profit_claim,"Still focused, but requires onboarding execution capacity.",portfolio aggregation of editable placeholder assumptions
broad_risk,low,top_decile_high_churn_risk|risk_10_30_low_engagement|risk_10_30_other_review,1434.0,938.075,9.38075,9.38075,940.0,0.009979521276595746,,,,assumption_required_no_profit_claim,More aggressive high-risk contact; watch contact fatigue.,portfolio aggregation of editable placeholder assumptions
broad_risk,base,top_decile_high_churn_risk|risk_10_30_low_engagement|risk_10_30_other_review,1434.0,938.075,28.14225,28.14225,940.0,0.029938563829787233,,,,assumption_required_no_profit_claim,More aggressive high-risk contact; watch contact fatigue.,portfolio aggregation of editable placeholder assumptions
broad_risk,high,top_decile_high_churn_risk|risk_10_30_low_engagement|risk_10_30_other_review,1434.0,938.075,46.90375,46.90375,940.0,0.04989760638297873,,,,assumption_required_no_profit_claim,More aggressive high-risk contact; watch contact fatigue.,portfolio aggregation of editable placeholder assumptions
maintenance_light,low,top_decile_high_churn_risk|risk_10_30_low_engagement|risk_10_30_other_review|late_week3_engaged_retention_candidate|genre_affinity_content_recommendation_pool,4104.0,1939.325,14.387,14.387,1238.0,0.011621163166397415,,,,assumption_required_no_profit_claim,Largest scope; maintenance and recommendation effects are more assumption-sensitive.,portfolio aggregation of editable placeholder assumptions
maintenance_light,base,top_decile_high_churn_risk|risk_10_30_low_engagement|risk_10_30_other_review|late_week3_engaged_retention_candidate|genre_affinity_content_recommendation_pool,4104.0,1939.325,43.161,43.161,1238.0,0.03486348949919225,,,,assumption_required_no_profit_claim,Largest scope; maintenance and recommendation effects are more assumption-sensitive.,portfolio aggregation of editable placeholder assumptions
maintenance_light,high,top_decile_high_churn_risk|risk_10_30_low_engagement|risk_10_30_other_review|late_week3_engaged_retention_candidate|genre_affinity_content_recommendation_pool,4104.0,1939.325,71.935,71.935,1238.0,0.058105815831987075,,,,assumption_required_no_profit_claim,Largest scope; maintenance and recommendation effects are more assumption-sensitive.,portfolio aggregation of editable placeholder assumptions
